"Tc/Tc0(r0/Tc0), created by Plot Digitizer, 2.6.8",,
"Date: 21/01/12, 14:59:22",,
,,
,,
r0/Tc0,Tc/Tc0,series
1.47267,0.981277,14
1.74835,0.90227,14
3.8121,0.819081,14
4.3688,0.679779,14
6.70171,0.494714,14
5.7638,0.342958,14
6.61515,0.191178,14
26.2086,0.926879,14
155.553,0.648577,14
58.0868,0.820407,14
65.2545,0.85773,14
77.7295,0.68292,14
86.3693,0.653694,14
169.503,0.419692,14
0.311612,0.215402,186
0.203964,0.14099,186
0.223802,-0.536547,186
0.235134,-0.528714,186
0.252131,-0.516965,186
0.260629,-0.51109,186
0.274785,0.189945,186
0.280419,2.95884,186
0.288781,14.7159,186
0.294374,20.941,186
0.299655,54.1246,186
0.307857,79.7065,186
0.316146,97.6848,186
0.327349,108.752,186
0.338584,117.055,186
0.347027,121.9,186
0.35831,126.055,186
0.375307,126.067,186
0.395137,126.081,186
0.412118,127.475,186
0.437613,127.492,186
0.463093,128.893,186
0.502745,129.611,186
0.522558,131.007,186
0.542372,132.404,186
0.559369,132.415,186
0.576366,132.427,186
0.59618,133.823,186
0.64433,134.548,186
0.69813,136.659,186
0.749105,138.077,186
0.802905,140.187,186
0.848214,141.601,186
0.899189,143.019,186
0.947324,145.126,186
0.995458,147.233,186
0.203964,0.14099,186
0.226627,0.156656,186
0.252123,0.17428,186
0.348439,0.240858,186
0.3796,0.262399,186
0.402271,-0.41318,186
0.427767,-0.395556,186
0.541072,0.374016,186
0.450397,2.38509,186
0.450333,7.91504,186
0.453062,16.9032,186
0.452949,26.5806,186
0.455726,31.4213,186
0.455638,39.0249,186
0.455565,45.2461,186
0.45831,52.8518,186
0.461087,57.6925,186
0.466656,65.9913,186
0.472282,69.4514,186
0.469352,77.7444,186
0.472153,80.5114,186
0.472089,86.0413,186
0.483364,90.8878,186
0.483292,97.109,186
0.483244,101.257,186
0.491686,106.101,186
0.49163,110.94,186
0.500072,115.784,186
0.511363,119.248,186
0.519846,120.637,186
0.548134,124.113,186
0.573606,126.204,186
0.58777,126.214,186
0.613265,126.231,186
0.638753,126.94,186
0.66989,129.036,186
0.712383,129.065,186
0.732196,130.461,186
0.757668,132.552,186
0.777498,132.566,186
0.802993,132.584,186
0.83129,135.368,186
0.856785,135.386,186
0.885098,136.788,186
0.910577,138.188,186
0.936073,138.206,186
0.964369,140.99,186
0.972867,140.996,186
0.215296,0.148823,186
0.300273,0.898813,186
0.337092,1.61551,186
0.379584,1.64489,186
0.416411,1.67034,186
0.444748,0.998681,186
0.456079,1.00651,186
0.46733,7.92679,186
0.472932,13.4607,186
0.475668,21.7575,186
0.478437,27.2895,186
0.48399,36.9708,186
0.481085,43.19,186
0.483862,48.0307,186
0.483797,53.5607,186
0.495073,58.4072,186
0.500706,61.1761,186
0.51483,64.6421,186
0.537469,66.7315,186
0.557299,66.7452,186
0.582794,66.7628,186
0.605433,68.8522,186
0.633761,68.8718,186
0.667755,68.8953,186
0.687585,68.909,186
0.730054,71.0121,186
0.75839,70.3405,186
0.775379,71.0435,186
0.795201,71.7484,186
0.815023,72.4534,186
0.851842,73.1701,186
0.871656,74.5663,186
0.908499,73.2092,186
0.936803,75.3025,186
0.9538,75.3143,186
0.97363,75.328,186
0.996276,76.7262,186
0.362611,-0.440595,186
0.405112,-1.10247,186
0.450437,-1.07113,186
0.484415,0.334852,186
0.509911,0.352476,186
0.58594,39.8063,186
0.572241,-0.295688,186
0.583412,13.537,186
0.597215,44.6528,186
0.60569,46.7324,186
0.628336,48.1306,186
0.636811,50.2102,186
0.665155,48.8473,186
0.690643,49.5561,186
0.710473,49.5698,186
0.74161,51.6651,186
0.764273,51.6808,186
0.803916,53.0907,186
0.820913,53.1024,186
0.846409,53.1201,186
0.880411,52.4523,186
0.905906,52.4699,186
0.920055,53.8622,186
0.945542,54.5711,186
0.968205,54.5868,186
0.982361,55.2878,186
1.00502,55.9947,186
0.22381,-1.22779,186
0.305963,-1.171,186
0.359787,-1.1338,186
0.405112,-1.10247,186
0.450445,-1.76238,186
0.475941,-1.74476,186
0.509935,-1.72126,186
0.538263,-1.70167,186
0.580756,-1.6723,186
0.597753,-1.66055,186
0.623249,-1.64293,186
0.640246,-1.63118,186
0.654386,0.452344,186
0.659995,5.29497,186
0.66278,9.44439,186
0.668397,13.5958,186
0.668357,17.052,186
0.671158,19.8189,186
0.676792,22.5878,186
0.690924,25.3626,186
0.705072,26.7549,186
0.7334,26.7745,186
0.724894,27.4598,186
0.750389,27.4774,186
0.761697,29.559,186
0.781542,28.1902,186
0.807022,29.5903,186
0.818353,29.5982,186
0.843849,29.6158,186
0.852347,29.6217,186
0.872169,30.3266,186
0.883501,30.3345,186
0.906147,31.7326,186
0.934484,31.061,186
0.95713,32.4591,186
0.97696,32.4728,186
0.991124,32.4826,186
0.999623,32.4885,186
,,
,,
,,
"r [mWcm](T [K]), created by Plot Digitizer, 2.6.8",,
