"rab (mWcm)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 21/03/18, 15:37:33"


30
T (K),rab (mWcm)
4.92958,0.244444,
15.4930,0.248148,
26.7606,0.259259,
40.1408,0.274074,
50.7042,0.288889,
61.2676,0.307407,
72.5352,0.329630,
83.8028,0.355556,
95.0704,0.388889,
103.521,0.422222,
112.676,0.466667,
119.014,0.514815,
125.352,0.562963,
129.577,0.600000,
133.099,0.651852,
137.324,0.729630,
150,0.733333,
162.676,0.737037,
177.465,0.748148,
188.732,0.755556,
200.704,0.770370,
214.085,0.785185,
226.056,0.800000,
236.620,0.811111,
247.887,0.822222,
254.930,0.837037,
265.493,0.844444,
276.761,0.862963,
288.732,0.877778,
299.296,0.892593,
