"T (K)(X), created by Plot Digitizer, 2.6.8",,,,,
"Date: 21/03/18, 16:10:25",,,,,
,,,,,
,,,,,
26,,,,,
X,TrS (K),TrN (K),TmC (K),TrC (K),TnN (K)
0,137.428,,,,
0.03,108.382,,,,
0.065,63.7283,,,,
0.075,51.1561,,,,
0.085,34.2486,,,,
0.09,32.5145,,,,
0,,136.994,,,
0.03,,113.15,,,
0.065,,74.5665,,,
0.075,,64.5954,,,
0.085,,45.0867,,,
0.09,,40.7514,,,
0,,,0,,
0.03,,,7.8,,
0.075,,,13.2,,
0.085,,,16.9,,
0.92,,,18.5,,
0.1,,,20.1,,
0.12,,,19,,
0.15,,,14.1,,
0.18,,,8.7,,
0.2,,,5.2,,
0.25,,,0,,
0.075,,,,13.8728,
0.1,,,,21.2428,
0.12,,,,19.9422,
0.15,,,,13.8728,
0.2,,,,4.76879,
0.25,,,,0,
0.3,,,,0,
0.075,,,,,58.526
0.085,,,,,42.4855
0.09,,,,,40.7514
