"M/H 8(emu/cm3/G)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/04/07, 13:35:44",
,
,
46,
T (K),M/H 8(emu/cm3/G)
4.96403,-0.0448148
5.97122,-0.0403704
7.05036,-0.0348148
7.91367,-0.0292593
8.92086,-0.0225926
10,-0.0151852
11.0072,-0.00740741
11.9424,0.00111111
12.8777,0.00925926
13.1151,0.0114815
14.1727,0.017037
14.3885,0.0177778
14.6763,0.0181481
15.1079,0.0174074
15.4676,0.0155556
15.8273,0.0137037
16.259,0.00740741
16.4748,0.00407407
16.9065,-0.00555556
18.0576,-0.0203704
18.9928,-0.0296296
20.0719,-0.0344444
21.0072,-0.0381481
21.9424,-0.0411111
23.0216,-0.042963
24.0288,-0.0433333
25.036,-0.0444444
25.9712,-0.0455556
27.1223,-0.0466667
28.0576,-0.0462963
28.9209,-0.0462963
29.8561,-0.0462963
31.0072,-0.0459259
31.9424,-0.0437037
33.0216,-0.04
34.0288,-0.0322222
34.964,-0.0196296
35.6115,-0.00925926
35.7554,-0.00481481
35.8993,-0.00037037
36.187,0.00185185
36.3309,0.00407407
37.1942,0.00518519
38.0576,0.00481481
39.2086,0.00407407
39.7122,0.00333333
,
,
46,
T (K),M/H 8(emu/cm3/G)
4.96403,0.102963
5.97122,0.102963
6.83453,0.102222
8.20144,0.102593
8.99281,0.102222
9.92806,0.102222
11.0072,0.102593
11.9424,0.102963
12.9496,0.102963
13.8129,0.101852
14.5324,0.101852
14.964,0.0996296
15.1799,0.0974074
15.4676,0.0948148
15.7554,0.0922222
16.1151,0.0881481
16.3309,0.0833333
16.6906,0.077037
16.9065,0.0662963
17.9856,0.0485185
18.777,0.0377778
19.9281,0.0296296
21.0072,0.0255556
22.0863,0.0225926
23.0216,0.0188889
23.9568,0.0166667
25.036,0.0159259
25.8993,0.0133333
27.1223,0.0125926
27.9856,0.0114815
29.8561,0.01
31.0791,0.00851852
32.446,0.00740741
33.0216,0.00740741
33.8849,0.00740741
34.8201,0.00555556
,
,
42,
T (K),M/H 8(emu/cm3/G)
5.89928,0.103333
6.90647,0.104074
8.1295,0.104074
8.92086,0.104815
9.78417,0.104444
10.9353,0.103704
12.3022,0.102963
13.2374,0.100741
13.8849,0.0992593
14.2446,0.0992593
14.3885,0.0966667
14.7482,0.0951852
15.036,0.0892593
15.4676,0.0825926
15.5396,0.0762963
15.8273,0.0692593
15.9712,0.0588889
16.3309,0.0488889
16.4748,0.0325926
17.0504,0.0244444
18.0576,0.0148148
18.9209,0.0114815
20.0719,0.00888889
21.223,0.00777778
22.1583,0.00740741
23.0216,0.00740741
24.0288,0.00740741
25.036,0.00592593
26.0432,0.00703704
26.9065,0.00592593
27.8417,0.00555556
29.1367,0.00592593
30,0.00592593
31.1511,0.00592593
32.0863,0.00555556
33.1655,0.00555556
34.2446,0.00555556
35.3237,0.00481481
36.4029,0.0037037
37.482,0.0037037
38.3453,0.00407407
38.8489,0.00259259
