"R (W)(m0H (T)), created by Plot Digitizer, 2.6.8",
"Date: 21/08/27, 10:08:54",
,
,
345,
m0H (T),R (W)
-1.98689,19.3546
-1.7377,19.3187
-1.48852,19.3546
-1.25246,19.3187
-1.04262,19.3187
-0.793443,19.2829
-0.570492,19.3187
-0.42623,19.3187
-0.334426,19.3187
-0.163934,19.2112
0.00655738,19.1753
0.111475,19.1753
0.242623,19.247
0.373771,19.247
0.531148,19.2829
0.67541,19.2829
0.898361,19.2829
1.06885,19.3187
1.34426,19.3546
1.58033,19.3187
1.76393,19.3187
1.97377,19.3187
-1.96066,18.243
-1.82951,18.2789
-1.69836,18.2789
-1.5541,18.243
-1.42295,18.243
-1.21311,18.3147
-1.08197,18.2789
-0.92459,18.243
-0.767213,18.2789
-0.636066,18.2789
-0.491803,18.2072
-0.347541,18.0637
-0.229508,17.992
-0.15082,17.9203
-0.0721311,17.8486
0.0196721,17.741
0.12459,17.7769
0.229508,17.9562
0.413115,18.0996
0.754098,18.243
1.01639,18.2789
1.21311,18.2072
1.38361,18.2072
1.6459,18.2072
1.84262,18.243
1.98689,18.2072
-1.98689,17.2032
-1.89508,17.2032
-1.75082,17.1315
-1.61967,17.1315
-1.48852,17.1315
-1.39672,17.0956
-1.22623,17.1315
-0.95082,17.0598
-0.793443,16.9522
-0.662295,16.8446
-0.518033,16.6295
-0.373771,16.4143
-0.229508,16.1992
-0.0459016,15.9482
-0.00655738,15.8048
0.163934,16.0199
0.281967,16.2709
0.439344,16.4502
0.557377,16.5936
0.688525,16.8088
0.845902,16.9522
0.990164,17.0956
1.22623,17.0956
1.38361,17.0956
1.5541,17.0956
1.7377,17.0239
1.9082,17.1315
-1.98689,16.3785
-1.81639,16.3068
-1.67213,16.3426
-1.48852,16.3785
-1.25246,16.2351
-1.05574,16.0916
-0.845902,15.8765
-0.64918,15.6255
-0.504918,15.4462
-0.360656,15.1952
-0.268852,15.1235
-0.137705,14.8725
-0.0590164,14.6932
0.00655738,14.6215
0.111475,14.8008
0.203279,14.9084
0.321311,15.1952
0.439344,15.2669
0.583607,15.4462
0.727869,15.6972
0.859016,15.8406
0.977049,15.9841
1.09508,16.0558
1.2,16.1633
1.39672,16.2709
1.5541,16.3785
1.7377,16.3785
1.89508,16.3785
2.01311,16.4143
-1.97377,15.2311
-1.77705,15.1952
-1.58033,15.0876
-1.30492,14.8725
-1.04262,14.5857
-0.872131,14.3347
-0.714754,14.1554
-0.583607,13.9761
-0.478689,13.761
-0.321311,13.5817
-0.216393,13.4741
-0.12459,13.259
-0.0590164,13.0438
0.00655738,12.9004
0.111475,13.1514
0.203279,13.4382
0.321311,13.5817
0.42623,13.7968
0.570492,13.9402
0.662295,14.1195
0.767213,14.2271
0.872131,14.3347
1.00328,14.4781
1.14754,14.6574
1.33115,14.9801
1.52787,15.0518
1.71148,15.1594
1.86885,15.3028
1.98689,15.3028
-1.97377,14.1554
-1.86885,14.0837
-1.69836,13.9402
-1.44918,13.6892
-1.23934,13.4382
-1.05574,13.0797
-0.819672,12.9363
-0.64918,12.6853
-0.504918,12.4701
-0.373771,12.1474
-0.190164,11.8964
-0.0983607,11.7171
-0.00655738,11.5378
0.0852459,11.6096
0.255738,11.9323
0.413115,12.255
0.531148,12.5418
0.714754,12.7928
0.872131,13.0438
1.00328,13.2231
1.14754,13.3307
1.30492,13.6175
1.47541,13.7968
1.65902,13.9761
1.79016,14.0478
1.9082,14.1554
2.01311,14.1912
-1.98689,13.0438
-1.82951,13.008
-1.69836,12.8287
-1.51475,12.757
-1.34426,12.5418
-1.22623,12.3984
-1.08197,12.0757
-0.937705,11.9323
-0.767213,11.6454
-0.622951,11.3944
-0.531148,11.1434
-0.439344,11
-0.268852,10.9283
-0.111475,10.8207
0.0459016,10.7131
0.216393,10.8207
0.308197,10.8924
0.413115,10.9283
0.544262,11.1793
0.662295,11.4661
0.793443,11.6813
0.911475,11.9323
1.12131,12.255
1.30492,12.4701
1.50164,12.6494
1.6459,12.8287
1.80328,13.008
1.98689,13.1873
-1.98689,11.7171
-1.85574,11.6454
-1.65902,11.4303
-1.42295,11.1434
-1.16066,10.7849
-0.937705,10.4263
-0.793443,10.1036
-0.596721,9.78088
-0.413115,9.78088
-0.268852,9.70916
-0.0983607,9.81673
0.00655738,9.85259
0.0983607,9.78088
0.242623,9.78088
0.4,9.78088
0.596721,9.9243
0.740984,10.0677
0.832787,10.3187
1.05574,10.6414
1.25246,10.9283
1.42295,11.2151
1.59344,11.4303
1.75082,11.6096
1.89508,11.7888
1.98689,11.8247
-2,10.3904
-1.88197,10.247
-1.75082,10.1036
-1.60656,9.9243
-1.48852,9.81673
-1.35738,9.60159
-1.14754,9.24303
-0.937705,8.95617
-0.727869,8.81275
-0.531148,8.74104
-0.321311,8.84861
-0.15082,8.95617
-0.00655738,9.20717
0.0721311,9.02789
0.308197,8.81275
0.504918,8.77689
0.67541,8.81275
0.885246,8.92032
1.01639,9.13546
1.18689,9.42231
1.34426,9.70916
1.5541,9.96016
1.69836,10.1753
1.85574,10.3904
2.02623,10.498
-1.98689,9.20717
-1.86885,9.06374
-1.76393,8.88446
-1.59344,8.66932
-1.47541,8.49004
-1.18689,8.09562
-1.04262,7.91633
-0.832787,7.7012
-0.662295,7.66534
-0.518033,7.77291
-0.281967,7.95219
-0.15082,7.88048
