"C/T (mJmol-1K-2)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/08/16, 10:44:52",
,
,
269,
T (K),C/T (mJmol-1K-2)
3.79665,133.607
3.75359,130.071
3.7177,128.143
3.64593,126.214
3.61005,124.929
3.56699,122.679
2.41148,127.982
3.48086,119.304
3.40909,117.375
3.39474,115.929
3.35167,114.643
3.30861,116.571
3.29426,117.696
3.2799,119.143
3.24402,120.268
3.23684,120.911
3.21531,121.875
3.20813,122.679
3.20096,124.929
3.17943,127.179
3.15072,128.143
3.14354,128.946
3.12919,131.357
3.12201,132.482
3.10048,133.286
3.06459,134.411
3.04306,135.536
3.00718,136.661
2.99282,137.786
2.91388,136.982
2.80622,136.661
2.7201,136.339
2.61962,134.893
2.57656,134.089
2.54067,132.321
2.48325,131.518
2.47608,130.232
2.40431,129.107
2.38995,126.054
2.06699,112.393
2.31818,123.964
2.26077,122.196
2.20335,119.464
2.189,118.018
2.16746,116.893
2.1244,114.964
2.11005,114
3.22249,110.304
2.01675,109.821
1.96651,108.696
1.93062,105.643
1.86603,103.071
1.82297,100.982
1.7512,100.018
1.72249,97.6071
1.70096,96.8036
1.67943,94.875
1.64354,93.4286
1.62919,92.625
1.57895,89.0893
1.19139,80.8929
1.49282,87.6429
1.46411,86.0357
1.42105,84.4286
1.38517,83.3036
1.36364,81.375
1.33493,80.7321
1.11244,77.3571
1.24163,77.6786
1.20574,76.0714
1.19139,75.4286
1.14115,74.1429
1.10526,73.3393
1.01914,69.6429
0.997608,68.1964
0.925837,65.625
0.889952,64.1786
0.839713,61.6071
0.803828,61.2857
3.13636,107.25
2.11722,77.5179
3.77512,132.321
3.73923,130.393
3.73206,127.982
3.68182,127.339
3.63876,125.571
3.5311,120.911
3.44498,118.821
3.40191,116.571
3.38038,115.125
3.35885,114.161
3.28708,112.554
3.26555,110.786
3.17943,109.661
3.1866,108.214
3.10048,105.482
2.92105,100.661
2.89234,100.821
2.85646,103.875
2.82775,105.643
2.82057,106.929
2.80622,107.571
2.79904,109.661
2.77033,110.946
2.73445,112.875
2.73445,113.518
2.69856,114.161
2.63397,115.286
2.66986,116.893
2.61244,117.214
2.56938,117.857
2.57656,114.964
2.54785,116.25
2.51196,117.054
2.45455,116.732
2.4689,115.286
2.48325,114.161
2.39713,115.768
2.33971,114
2.32536,114.964
2.13158,108.536
2.25359,112.714
2.16029,111.75
2.16029,110.625
2.13158,110.304
2.06699,108.054
2.00239,105.964
1.90191,104.036
1.87321,102.911
1.8445,101.304
1.77273,99.0536
1.69378,96.4821
1.60048,93.9107
1.61483,92.1429
1.54306,91.0179
1.47847,88.6071
1.46411,87.4821
1.42105,86.0357
1.37799,84.4286
1.3134,83.1429
1.27033,81.8571
1.21292,78
1.16268,76.2321
1.09091,73.5
1.01914,71.25
1.00478,69.3214
0.9689,68.0357
0.911483,66.75
0.875598,66.2679
0.861244,67.7143
0.832536,64.9821
4.11244,143.893
3.94737,136.821
3.80383,132.482
3.7823,129.911
3.64593,125.25
3.60287,123
3.50239,120.589
3.50239,118.982
3.45215,116.25
3.31579,114.321
3.30144,112.071
3.07177,105.643
2.97847,101.304
2.87081,98.5714
2.78469,94.875
2.68421,92.4643
2.63397,91.0179
2.5622,89.8929
2.49761,88.4464
2.48325,94.0714
2.42584,99.2143
2.33971,102.911
2.26077,102.589
2.20335,101.464
2.16746,101.304
2.13876,102.589
2.05263,101.143
1.9378,99.2143
1.81579,97.9286
1.76555,96.6429
1.71531,96.4821
1.71531,95.3571
1.63636,92.7857
1.60766,91.3393
1.52153,87.9643
1.41388,85.3929
1.32057,83.3036
1.28469,81.5357
1.23445,79.4464
1.19856,78.6429
1.14115,77.5179
1.13397,74.1429
1.03349,73.9821
1.02632,72.375
0.976077,70.2857
0.897129,68.6786
0.904306,66.4286
0.832536,64.3393
0.782297,63.5357
3.69617,128.143
3.59569,124.929
3.50957,121.714
3.4378,119.143
3.35885,116.089
3.23684,110.464
3.07895,104.036
2.92823,98.5714
2.72727,95.1964
2.6555,91.5
2.24641,81.6964
2.311,83.3036
2.09569,88.2857
2.02392,89.0893
1.94498,91.3393
1.79426,90.5357
1.71531,90.375
1.62919,89.0893
1.52871,87.9643
1.45694,85.875
1.43541,84.5893
1.3134,82.3393
1.29187,80.7321
1.19139,78.4821
1.12679,75.5893
1.08373,73.3393
0.875598,71.0893
0.882775,64.3393
0.789474,60.9643
3.17943,107.732
3,103.393
2.87081,100.339
2.11005,77.5179
1.86603,75.2679
1.03349,72.8571
1.77273,79.2857
1.72249,80.5714
1.64354,82.8214
1.57177,84.9107
1.47847,82.8214
1.27751,79.6071
1.2201,78.1607
1.04785,71.8929
1.02632,69.9643
0.933014,66.4286
0.811005,62.8929
2.73445,93.2679
2.5622,88.9286
2.42584,83.9464
2.18182,78.8036
2.10287,79.2857
1.98086,75.5893
1.88756,73.3393
1.7799,72.6964
1.72249,70.2857
1.64354,70.125
1.56459,68.1964
1.48565,67.0714
1.42823,67.875
1.35646,66.9107
1.25598,65.1429
1.19139,67.7143
1.09809,71.7321
0.9689,71.0893
0.933014,69.6429
0.889952,69.4821
0.72488,65.9464
0.667464,64.6607
0.574163,63.0536
