"Rs (W-1)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 21/11/08, 10:34:03",
,
,
683,
Temperature (K),Rs (W-1)
1.8796,0
2.1752,0
2.5146,0
2.7555,0
2.8869,0.034843
3.0073,0.17422
3.0401,0.38328
3.0949,1.5679
3.1168,2.4739
3.1496,3.6237
3.1825,4.3902
3.2263,5.5401
3.2372,6.4808
3.2482,7.4216
3.2591,8.1185
3.2591,8.5366
3.281,8.8502
3.2701,9.547
3.281,9.7561
3.281,10.209
3.281,10.453
3.281,10.662
3.292,11.359
3.292,11.882
3.292,12.369
3.292,12.857
3.3029,13.101
3.3139,13.38
3.3139,13.658
3.3139,13.972
3.3358,14.46
3.3467,14.948
3.3467,15.366
3.4015,15.854
3.4015,16.341
3.4453,16.655
3.5438,16.969
3.6095,17.143
3.6752,17.282
3.7737,17.352
3.8613,17.422
3.9599,17.491
4.0475,17.561
4.1569,17.596
4.2993,17.631
4.4525,17.677
4.5292,17.72
4.6387,17.75
4.7263,17.77
4.8686,17.77
4.9781,17.77
5,17.77
1.9234,0
2.0876,0
2.3066,0.034843
2.438,0.069686
2.6679,0.069686
2.7774,0.034843
2.854,0.13937
2.8978,0.34843
2.9416,0.59233
2.9745,1.0453
3.0073,1.7073
3.0292,2.6132
3.062,3.4495
3.0949,4.216
3.1277,5.0174
3.1496,5.8537
3.1606,6.4111
3.1934,7.6655
3.2044,8.6063
3.2153,9.5122
3.2263,10.209
3.2263,10.627
3.2263,10.976
3.2372,11.429
3.2263,11.672
3.2372,12.439
3.2591,13.136
3.2701,13.624
3.2701,14.146
3.3029,14.704
3.3139,15.122
3.3139,15.61
3.3358,15.923
3.3686,16.237
3.4015,16.516
3.4343,16.725
3.489,16.899
3.5329,17.108
3.6095,17.247
3.7299,17.387
3.8066,17.422
3.9161,17.491
4.0037,17.556
4.1131,17.596
4.2117,17.631
4.3759,17.681
4.4963,17.716
4.573,17.735
4.8248,17.77
4.9124,17.77
5,17.77
1.9343,0
2.3613,0.034843
2.5255,0.069686
2.6241,0.13937
2.6898,0.38328
2.7336,0.69686
2.7774,0.97561
2.8212,1.4634
2.8431,1.8467
2.8759,2.5436
2.8978,3.2404
2.9307,3.8676
2.9416,4.3554
2.9745,5.0523
2.9964,5.7491
3.0073,6.3763
3.0292,7.4216
3.0511,8.1533
3.073,8.7456
3.0949,9.4425
3.1168,10.244
3.1277,11.15
3.1277,11.777
3.1387,12.439
3.1606,13.031
3.1715,13.554
3.1934,14.077
3.2153,14.669
3.2372,15.122
3.2591,15.54
3.2591,15.854
3.292,16.063
3.3139,16.307
3.3358,16.481
3.3796,16.69
3.4234,16.829
3.489,16.969
3.5329,17.108
3.6095,17.317
3.7299,17.422
3.8175,17.491
3.8832,17.526
3.9927,17.596
4.0693,17.631
4.2336,17.766
4.5292,17.82
4.6825,17.825
4.792,17.85
4.9453,17.875
4.989,17.87
4.94526,17.8049
4.98905,17.77
1.8139,0
2.0219,0
2.2409,0
2.3723,0.13937
2.4708,0.20906
2.5036,0.38328
2.5584,0.52265
2.6241,1.0453
2.6788,1.4983
2.7007,2.0906
2.7336,2.5784
2.7664,3.1707
2.7774,3.7979
2.8102,4.2857
