"LD (%)(Distance), created by Plot Digitizer, 2.6.8",
"Date: 22/01/18, 14:24:55",
,
,
609,
Distance,LD (%)
65K,153
53.1714,0.106362
86.2611,0.111631
108.194,0.11162
113.535,0.107652
135.326,0.103676
162.386,0.0937496
290.924,0.0084387
205.09,0.0613479
215.415,0.0435008
236.874,0.0302735
300.68,-0.0252675
311.148,-0.0391498
321.687,-0.0510498
347.964,-0.0827822
369.708,-0.08808
391.285,-0.0980033
396.341,-0.1099
412.577,-0.115856
434.249,-0.123136
472.514,-0.12646
494.376,-0.128454
505.769,-0.116566
533.613,-0.104686
533.969,-0.0947737
545.268,-0.0855284
589.633,-0.0716746
612.017,-0.059131
601.336,-0.0511957
612.801,-0.0373248
624.835,-0.00759483
663.954,0.0128697
692.083,0.0326792
737.326,0.0709823
748.673,0.0815493
765.455,0.0907918
793.204,0.100029
859.217,0.105941
935.722,0.0986326
951.816,0.0887122
973.441,0.0801104
984.075,0.0708536
1010.95,0.0556411
1026.87,0.041095
1026.4,0.0278792
1053.34,0.014649
1063.26,-0.0144316
1084.67,-0.0289805
1095.12,-0.0435237
1094.67,-0.0560787
1110.83,-0.0640168
1126.88,-0.0752589
1143.11,-0.0812146
1164.67,-0.0917987
1169.84,-0.100392
1207.96,-0.107681
1218.72,-0.113634
1256.98,-0.116957
1301.11,-0.109712
1334.41,-0.0984953
1340.44,-0.0833
1396.87,-0.0390554
1436.84,0.00519767
1448.49,0.0243549
1476.6,0.0435036
1499.2,0.0619944
1505.08,0.073225
1538.36,0.0837805
1566.3,0.0983037
1599.65,0.110842
1638.3,0.11809
1720.76,0.123995
1726.05,0.118705
1753.19,0.110761
1752.92,0.103493
1779.94,0.092245
1801.59,0.084304
1828.46,0.0690915
1859.24,0.0102637
1843.6,0.0327393
1870.11,0.00761485
1917.45,-0.0485783
1901.28,-0.0406402
1911.73,-0.0551834
1927.77,-0.0664254
1976.1,-0.0948653
1948.78,-0.0922078
2068.72,-0.111434
2101.93,-0.102861
2135.9,-0.0731421
2152.8,-0.0605956
2181.48,-0.0255878
2187.03,-0.0236083
2215.35,0.0014875
2221.64,0.0239516
2299.78,0.0622375
2260.97,0.0503633
2327.79,0.0787431
2316.97,0.0827135
2350.56,0.101859
2372.73,0.108456
2400.26,0.111746
2416.9,0.117023
2466.56,0.125588
2510.21,0.119618
2531.65,0.10573
2547.39,0.0858974
2563.38,0.0733337
2590.14,0.0548172
2621.4,0.00920533
2632.03,-5.15E-05
2642.43,-0.0159162
2663.91,-0.0284828
2765.53,-0.0999027
2673.95,-0.0542594
2679.06,-0.0648349
2684.02,-0.0793753
2716.54,-0.0899651
2753.73,-0.123025
2780.87,-0.130969
2830.17,-0.132316
2841.37,-0.125714
2869.17,-0.115155
2858.6,-0.103916
2886.88,-0.0801419
2908.95,-0.0761886
2942.49,-0.0583643
2972.31,0.00836146
2982.23,-0.0207191
3349.63,-0.02025
3016.13,0.00701699
3016.58,0.0195721
3049.9,0.0314492
3055.77,0.042019
3072.6,0.0525831
3078.46,0.0631529
3100.91,0.0776789
3128.57,0.0842726
3139.77,0.0908748
3200.35,0.098112
3266.01,0.0941129
3282.08,0.0835317
3341.28,0.0524429
3346.24,0.0379026
3378.59,0.0226872
3383.32,0.00153899
3404.42,-0.0216002
3436.37,-0.0480491
3522.96,-0.0798129
3560.85,-0.0937096
3654.51,-0.0812032
3727.2,-0.0422536
3750.32,-0.00922536
3789.41,0.0105784
,
91K,126
52.6492,0.0918245
85.7152,0.0964329
151.539,0.0970593
162.102,0.0858201
172.736,0.0765633
215.7,0.0514303
248.125,0.0381973
258.712,0.0276189
284.515,-0.0173294
316.916,-0.0312232
332.226,-0.0629498
364.438,-0.08213
369.565,-0.0920447
385.73,-0.0999828
418.535,-0.102643
457.013,-0.10002
479.207,-0.0927627
534.966,-0.0670204
541.067,-0.0498427
569.053,-0.0339979
597.039,-0.0181532
608.291,-0.0102294
647.291,0.00693117
658.922,0.0254277
670.458,0.041281
676.25,0.0498684
709.577,0.0617455
726.36,0.070988
748.696,0.0822101
776.516,0.0934293
820.596,0.0993535
875.382,0.0980033
924.684,0.096656
973.583,0.0840752
1016.9,0.0688541
1027.21,0.0503461
1085.91,0.00538074
1085.1,-0.0170862
1111.97,-0.0322988
1111.57,-0.0435322
1127.69,-0.0527919
1154.82,-0.0607357
1181.81,-0.0726443
1208.91,-0.0812489
1213.99,-0.0924853
1246.75,-0.0964672
1312.76,-0.0905544
1313.29,-0.0760169
1357.53,-0.0654671
1374.65,-0.0469735
1375.1,-0.0344184
1403.13,-0.0172521
1442.84,0.0197322
1476.34,0.0362349
1476.91,0.0520939
1493.88,0.0666228
1532.71,0.0791578
1560.49,0.0890554
1626.31,0.0896819
1681.19,0.0909749
1741.36,0.0869787
1779.58,0.0823331
1833.35,0.0525688
1843.55,0.0314177
1896.82,-0.0122232
1896.15,-0.0307254
1949.18,-0.0809743
1997.77,-0.102145
2041.52,-0.105472
2069.22,-0.0975571
2096.9,-0.0903026
2108.37,-0.0764317
2158.95,-0.0420962
2204.1,-0.00643629
2221.16,0.0107357
2238.47,0.0345157
2288.32,0.0483666
2294.54,0.0688483
2355.61,0.0899622
2377.74,0.0952371
2448.97,0.0938784
2520.09,0.0892156
2547.29,0.0832542
2568.73,0.0693661
2622.32,0.0349763
2648.2,-0.00798959
2663.65,-0.0357515
2690.47,-0.0522856
2701.13,-0.0608816
2716.85,-0.0813748
2732.99,-0.0899737
2820.17,-0.105218
2875.41,-0.0940128
2887.33,-0.0675868
2909.78,-0.0530608
2932.14,-0.041178
2954.6,-0.026652
2944.08,-0.0140912
2983.06,0.0024086
2994.86,0.0255306
3006.35,0.0400624
3006.75,0.0512958
3034.83,0.0697837
3057,0.0763802
3090.26,0.086275
3101.53,0.0948595
3134.65,0.10079
3189.38,0.0981177
3260.57,0.0954374
3287.47,0.0808856
3314.19,0.0617083
3324.78,0.0511299
3351.58,0.033935
3356.11,0.00750043
3447.83,-0.0341782
3463.17,-0.065244
3511.71,-0.0877367
3643.22,-0.0904485
3698.95,-0.065367
3694.08,-0.0481835
3722.4,-0.0230877
3755.54,-0.0164969
3734.72,0.0145718
3729.81,0.0304337
3784.93,0.0383346
3785.14,0.0442817
,
94K,95
54.0497,-0.0218348
70.5708,-0.019861
92.6465,-0.0159077
125.594,-0.0146032
153.058,-0.013296
191.512,-0.0113336
224.531,-0.0080468
257.525,-0.00542079
263.104,-0.00278048
285.298,0.0044768
312.999,0.012392
324.108,0.016351
340.677,0.0196464
357.198,0.0216202
384.757,0.0255707
412.245,0.0275388
445.311,0.0321471
461.642,0.0288346
505.437,0.0268293
570.976,0.0195263
592.624,0.0115853
641.855,0.00825562
652.584,0.00164197
674.256,-0.00563819
690.73,-0.00498598
717.98,-0.00962584
843.788,-0.0182819
887.559,-0.020948
937.099,-0.0156874
975.624,-0.0117427
1463.88,-0.00538932
1025.24,-0.00449969
1041.83,-0.000543509
1052.89,0.00209394
1064.12,0.00935694
1097.14,0.0126437
1113.73,0.0165999
1146.72,0.0192259
1179.84,0.0251559
1229.21,0.0257909
1294.94,0.0237742
1360.62,0.020436
1393.35,0.0157932
1404.13,0.0105012
1409.38,0.00389038
1425.66,-0.00074375
1458.32,-0.00736884
1545.77,-0.0153441
1589.4,-0.0219749
1644.11,-0.0253075
1693.37,-0.0279764
1720.67,-0.0312947
1753.83,-0.0240431
1814.64,-0.010198
1831.26,-0.00558098
1847.9,-0.000303221
1875.5,0.00496882
1897.58,0.00892214
1925.11,0.0122118
1963.66,0.0168173
1991.29,0.0227502
2046.2,0.0247039
2073.47,0.0207249
2106.23,0.0167429
