"rxx (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/01/26, 13:57:27",
,
,
T (K),rxx (mWcm)
0T,41
1.76471,2.84E-14
10.084,2.84E-14
10.3361,27.1386
10.8403,32.4484
11.8487,34.2183
13.8655,37.1681
15.126,39.528
16.8908,41.8879
18.9076,44.8378
22.437,47.1976
25.2101,50.1475
28.4874,53.0973
32.521,56.6372
35.5462,59.587
40.084,64.3068
42.3529,66.6667
45.3782,70.2065
49.4118,74.9263
52.1849,79.056
56.2185,83.1858
59.2437,89.0855
63.2773,94.9853
66.3025,99.115
69.3277,105.015
72.3529,110.324
75.3782,116.224
78.9076,122.124
82.9412,129.794
86.9748,138.053
90.5042,143.363
93.7815,150.442
96.3025,156.342
98.8235,161.652
100.84,168.142
104.118,173.451
106.891,179.941
109.664,187.611
112.185,192.33
114.706,198.23
117.479,205.9
120,210.029
,
10T,14
2.26891,11.7994
2.77311,18.8791
4.78992,31.2684
8.57143,38.9381
13.8655,45.4277
19.1597,50.7375
24.958,55.4572
31.0084,57.8171
37.3109,62.5369
53.1933,82.0059
63.0252,97.3451
77.1429,119.174
86.2185,138.053
109.664,187.611
,
15T,14
2.52101,48.9676
3.02521,50.7375
4.03361,54.2773
7.81513,47.7876
13.6134,51.9174
18.9076,57.8171
24.958,60.767
31.0084,64.3068
36.8067,66.6667
53.4454,84.3658
62.7731,97.9351
76.8908,120.354
86.4706,139.233
109.16,187.021
,
20T,13
2.26891,78.4661
4.53782,69.6165
8.31933,58.9971
13.8655,61.3569
19.1597,66.6667
25.2101,68.4366
31.2605,69.0266
37.3109,72.5664
52.9412,87.3156
62.521,100.295
76.8908,123.894
86.4706,141.003
109.664,189.381
,
25T,14
2.26891,102.065
3.27731,99.115
4.28571,87.9056
8.31933,70.7965
13.8655,70.7965
19.6639,74.3363
25.2101,75.5162
30.7563,75.5162
37.0588,76.6962
53.1933,90.8555
62.7731,103.835
77.1429,125.074
86.2185,142.773
109.412,189.381
,
30T,14
2.26891,125.664
3.27731,120.944
4.53782,106.195
8.57143,84.3658
13.8655,82.0059
19.4118,84.9557
25.2101,83.7758
31.0084,83.1858
37.0588,84.9557
53.1933,94.3953
62.7731,106.195
77.395,126.844
86.2185,143.363
109.664,188.791
,
34T,14
2.26891,145.133
3.27731,139.823
4.53782,123.304
7.81513,96.7552
13.6134,91.4454
19.4118,94.3953
24.7059,92.6254
31.0084,90.2655
37.0588,89.6755
52.6891,97.9351
62.7731,108.555
76.6387,130.973
86.4706,146.313
109.16,191.74
