"SD/a0(B (Gauss)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/07, 15:13:42"


32
B (Gauss),SD/a0
5.02329,0.392256,
5.96596,0.459386,
12.5391,0.300377,
24.7541,0.212602,
34.5518,0.202246,
50.6635,0.200290,
59.5170,0.156337,
71.6464,0.133351,
393.840,0.0962529,
510.378,0.100540,
599.327,0.0880240,
1.98674,0.521856,
4.95013,0.574587,
11.4794,0.447051,
8.97692,0.367320,
14.8866,0.396847,
3.52038,0.195119,
4.97812,0.132372,
9.70389,0.0697423,
19.3546,0.145445,
19.1299,0.0930457,
27.0238,0.109939,
37.2601,0.0932907,
45.9430,0.124805,
52.6286,0.120663,
66.5435,0.118654,
69.9028,0.129151,
77.1696,0.118708,
90.5872,0.133438,
103.786,0.116721,
115.958,0.133528,
139.534,0.141980,
