"C (mJ/mol-K)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/02/10, 13:30:32",
,
,
247,
T (K),C (mJ/mol-K)
0.11002,0.18349
0.12039,0.24465
0.13076,0.18349
0.14113,0.18349
0.1515,0.24465
0.16014,0.30581
0.17396,0.30581
0.19297,0.4893
0.21371,0.73395
0.24136,1.1009
0.26728,1.6514
0.29493,2.3242
0.32949,3.1193
0.36751,4.2202
0.40553,5.5658
0.45219,7.4618
0.50403,9.7248
0.55588,12.538
0.55933,12.416
0.60599,14.434
0.63882,16.147
0.65438,17.064
0.67339,17.982
0.6924,18.716
0.69758,19.083
0.70622,19.633
0.7235,20.489
0.74251,21.284
0.75461,21.712
0.75806,21.896
0.77362,22.324
0.77535,21.957
0.77362,21.407
0.77707,21.101
0.77707,20.245
0.7788,19.694
0.77535,19.021
0.78053,17.553
0.7788,16.942
0.78226,16.208
0.78053,15.841
0.78226,15.046
0.78226,14.74
0.78053,14.312
0.78399,13.7
0.78399,13.211
0.78571,12.599
0.81509,11.009
0.80472,11.193
0.81164,10.887
0.82546,11.498
0.83583,11.621
0.84101,11.743
0.85311,11.804
0.86002,11.988
0.87903,12.171
0.8894,12.355
0.90841,12.661
0.92396,12.783
0.94124,13.211
0.9568,13.456
0.97062,13.517
0.98099,13.7
0.99136,14.006
0.70795,18.838
0.72177,19.205
0.72869,19.572
0.73733,20.184
0.7477,20.612
0.76152,17.125
0.7788,11.804
0.78571,11.498
0.79435,11.376
0.80645,11.132
0.82373,11.193
0.8341,11.498
0.84793,11.743
0.68548,17.859
0.69412,18.226
0.69758,18.471
0.70104,18.654
0.70449,18.899
0.71313,15.596
0.71659,14.251
0.72869,10.764
0.73387,10.031
0.74424,10.092
0.76325,10.459
0.77362,10.459
0.78399,10.703
0.79781,10.826
0.80818,11.07
0.56279,13.028
0.56797,13.333
0.61636,15.29
0.58353,13.762
0.58698,14.251
0.59217,14.312
0.59735,14.557
0.60254,14.74
0.60945,15.168
0.625,15.596
0.63537,12.844
0.63537,11.865
0.64746,9.3578
0.67166,8.8685
0.68894,9.2355
0.69931,9.419
0.70968,9.6025
0.72696,9.7248
0.50576,11.56
0.5144,11.927
0.52823,12.294
0.53687,10.275
0.54032,9.7248
0.55242,8.1346
0.55933,7.7676
0.57834,7.7064
0.60772,8.1957
0.64746,8.7462
0.63537,8.5627
0.65611,8.8685
0.66475,8.7462
0.4038,8.2569
0.41417,8.7462
0.42799,9.1743
0.43664,9.6025
0.44355,9.1131
0.44528,8.5627
0.44873,7.8899
0.44873,7.7064
0.45392,7.3394
0.45392,7.0948
0.45564,6.8502
0.46429,6.6667
0.47811,6.4832
0.49194,6.6667
0.50576,6.8502
0.51267,7.0336
0.53341,7.156
0.53859,7.4006
0.55415,7.4618
0.56106,7.6453
0.58353,7.7676
0.60426,7.9511
0.30184,5.7492
0.31221,5.8716
0.32776,6.422
0.33295,6.6055
0.33641,6.7278
0.34505,6.422
0.34505,6.055
0.35023,5.6881
0.35369,5.4434
0.35541,5.3823
0.3606,5.0764
0.37097,5.5046
0.38134,5.5658
0.38998,5.6269
0.40035,5.5658
0.41936,5.8104
0.43491,6.1162
0.18606,2.8746
0.20507,3.2416
0.2068,3.9755
0.22235,3.9755
0.23445,3.9755
0.24136,3.9755
0.25173,3.9755
0.26037,3.7309
0.2621,3.792
0.30357,4.3425
0.28629,4.159
0.29839,4.3425
0.31221,4.5872
0.11002,2.5688
0.11693,2.6911
0.12039,2.9358
0.12212,2.5076
0.13249,3.0581
0.14804,3.1804
0.16187,3.1804
0.16878,3.2416
0.17915,3.1193
0.18606,2.9969
0.20853,2.9969
0.21371,3.0581
0.10657,2.4465
0.14804,2.5076
0.17223,2.6911
0.18779,2.9358
0.19297,3.0581
0.20853,3.1193
0.23272,3.4251
0.24482,3.6086
0.28111,4.0367
0.2932,4.159
0.31394,4.526
0.32258,4.6483
0.33295,4.7706
0.34159,4.893
0.34505,4.893
0.34505,5.2599
0.37442,5.4434
0.38998,5.6881
0.39689,5.7492
0.4159,5.9939
0.42627,5.9939
0.44355,6.3609
0.44528,6.4832
0.46256,6.6055
0.47638,6.9113
0.49885,7.0948
0.51095,7.156
0.53168,7.4006
0.54551,7.5229
0.54724,7.7064
0.5576,7.8899
0.57834,8.1346
0.59044,8.318
0.60426,8.318
0.60772,8.5015
0.61982,8.6238
0.62673,8.6238
0.63364,9.7859
0.64574,9.6636
0.65956,9.4801
0.67166,9.419
0.68721,9.419
0.69931,9.419
0.70795,9.6025
0.71659,9.7859
0.73041,9.9083
0.74597,10.153
0.76152,10.459
0.7788,10.642
0.79954,10.764
0.80991,10.948
0.8341,11.437
0.84965,11.621
0.86175,11.804
0.86694,11.988
0.8773,12.049
0.88249,12.11
0.89113,12.294
0.89631,12.294
0.9015,12.416
