"4pM/H(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/15, 13:00:18"


27
T (K),4pM/H
2.03077,2.77556e-17,
8.03077,2.77556e-17,
10.0308,2.77556e-17,
2.06154,-1.18140,
2.55385,-1.16279,
3.07692,-1.12093,
3.50769,-1.08372,
3.84615,-1.05116,
4.24615,-1.01395,
4.64615,-0.958140,
5.10769,-0.883721,
5.47692,-0.823256,
5.87692,-0.720930,
6.12308,-0.651163,
6.36923,-0.581395,
6.61538,-0.497674,
6.86154,-0.400000,
7.04615,-0.311628,
7.29231,-0.213953,
7.47692,-0.134884,
7.66154,-0.0697674,
7.81538,-0.0325581,
7.87692,-0.0186047,
7.96923,2.77556e-17,
8.46154,2.77556e-17,
9.20000,2.77556e-17,
10.0308,2.77556e-17,
