"Tc (K)(P (GPa)), created by Plot Digitizer, 2.6.8"
"Date: 22/02/25, 8:51:58"


30
P (GPa),Tc (K)
147.669,164.249,
173.714,180.453,
201.688,191.615,
210.852,194.496,
219.534,207.459,
156.833,165.689,
179.984,177.572,
199.759,187.654,
211.817,206.739,
223.875,199.177,
232.556,233.385,
242.685,240.226,
252.814,266.512,
266.801,287.037,
270.659,279.835,
174.678,170.730,
209.887,189.455,
241.238,238.426,
249.920,254.270,
258.119,275.514,
184.807,180.093,
233.039,213.940,
250.402,273.714,
257.154,282.716,
137.540,146.965,
160.209,169.650,
165.997,171.811,
178.055,183.693,
181.913,190.895,
188.183,197.737,
