"l-2 (mm-2)(T (K)), created by Plot Digitizer, 2.6.8"
"Date: 22/06/22, 9:43:14"


32
T (K),l-2 (mm-2)
0.571429,2.21414,
0.802721,2.22973,
0.993197,2.30249,
1.18367,2.23493,
1.40136,2.27131,
1.57823,2.25052,
1.80952,2.33368,
2.23129,2.21933,
2.50340,2.19854,
2.74830,2.12578,
2.99320,2.06861,
3.26531,2.07900,
3.49660,2.01143,
3.74150,1.98025,
4.01361,1.97505,
4.25850,1.80353,
4.51701,1.70478,
4.61225,1.72557,
4.78912,1.64761,
5.00680,1.65800,
5.18367,1.41372,
5.44218,1.39813,
5.59184,1.26819,
5.80952,1.10707,
5.87755,1.05509,
6,0.997921,
6.10884,0.982328,
6.20408,0.592516,
6.39456,0.353430,
6.59864,0.576923,
7.00680,0.0103950,
8.01361,0.0103950,
