"R/R0(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 23/01/17, 9:21:07",
,
,
58,NbSe2
T (K),R/R0
0.415663,0
0.504016,0
0.61998,0
0.730422,0
0.835341,0.0078125
0.890562,0.0130208
0.912651,0.015625
0.923695,0.0260417
0.934739,0.0390625
0.951305,0.0598958
0.951305,0.101563
0.962349,0.148438
0.967871,0.197917
0.973394,0.260417
0.98996,0.320313
0.98996,0.380208
0.995482,0.416667
1,0.481771
1.001,0.523438
1.01205,0.578125
1.01757,0.643229
1.03414,0.708333
1.03414,0.760417
1.0507,0.799479
1.05622,0.833333
1.08384,0.885417
1.1004,0.901042
1.11145,0.916667
1.13906,0.927083
1.15562,0.934896
1.17771,0.945313
1.21637,0.953125
1.24398,0.955729
1.28263,0.955729
1.33233,0.955729
1.37098,0.960938
1.42068,0.963542
1.49799,0.96875
1.55321,0.96875
1.61396,0.96875
1.66918,0.96875
1.70783,0.96875
1.7741,0.971354
1.84588,0.976563
1.90663,0.976563
2.0005,0.976563
2.07781,0.979167
2.15512,0.979167
2.249,0.984375
2.32631,0.984375
2.39809,0.984375
2.48645,0.984375
2.63554,0.984375
2.71837,0.984375
2.8012,0.984375
2.87299,0.986979
2.92821,0.986979
3,0.986979
,
62,PFS/NbSe2
0.316265,0
0.377008,0
0.465361,0
0.564759,0
0.64759,0
0.75251,0
0.807731,0
0.862952,0
0.907129,0.00260417
0.967871,0.00260417
1.02309,0.00520833
1.07279,0.0078125
1.10592,0.0078125
1.1501,0.0078125
1.20532,0.015625
1.25502,0.0208333
1.29367,0.0260417
1.32681,0.03125
1.3489,0.0364583
1.39307,0.0729167
1.42068,0.09375
1.43725,0.143229
1.44829,0.184896
1.46486,0.223958
1.4759,0.260417
1.4759,0.296875
1.49247,0.325521
1.49247,0.356771
1.50351,0.393229
1.52008,0.414063
1.5256,0.463542
1.55321,0.502604
1.55873,0.554688
1.5753,0.601563
1.5753,0.638021
1.59187,0.674479
1.60291,0.71875
1.61948,0.752604
1.64709,0.789063
1.65813,0.8125
1.70231,0.882813
1.71888,0.898438
1.75201,0.929688
1.79066,0.9375
1.81275,0.947917
1.84588,0.958333
1.9011,0.96875
1.9508,0.96875
2.01155,0.973958
2.06677,0.976563
2.11094,0.976563
2.21034,0.973958
2.249,0.979167
2.33735,0.981771
2.40361,0.984375
2.51406,0.984375
2.61345,0.986979
2.7239,0.986979
2.83434,0.986979
2.89508,0.984375
2.95582,0.984375
2.98343,0.986979
