"RDC/RN(T [K]), created by Plot Digitizer, 2.6.8",
"Date: 23/07/04, 15:02:03",
,
,
113,
T [K],RDC/RN
5.71212,0.946376
5.65152,0.946376
5.60606,0.946376
5.54545,0.895628
5.5,0.863317
5.4697,0.802149
5.43939,0.745316
5.40909,0.631731
5.39394,0.525708
5.37879,0.445591
5.36364,0.350924
5.33333,0.252113
5.33333,0.187904
5.30303,0.140048
5.24242,0.0538745
5.28788,0.077796
5.25758,0.0482515
5.24242,0.029927
5.22727,0.0203475
5.21212,0.00459446
5.18182,0.00312378
5.22727,0.00237137
5.16667,0.00176742
5.16667,0.00141774
5.18182,0.00120168
5.18182,0.00109621
5.15152,0.00330078
5.15152,0.00176742
5.13636,0.00136659
5.12121,0.00111654
5.10606,0.00101854
5.09091,0.00241534
5.09091,0.00176742
5.0303,0.0011798
5.30303,0.150727
5.0303,0.00208521
5.01515,0.00259952
5,0.00158295
4.95455,0.00122396
4.9697,0.00111654
4.90909,0.00126977
4.90909,0.00173525
4.87879,0.00131729
4.86364,0.00113724
4.80303,0.00129331
4.77273,0.00155414
4.77273,0.00204725
4.77273,0.00269681
4.78788,0.00396647
4.68182,0.0014708
4.71212,0.00105666
4.66667,0.00107625
,
,
5.78788,0.963923
5.77273,0.963923
5.68182,0.981796
5.60606,0.946376
5.54545,0.946376
5.51515,0.879324
5.45455,0.847601
5.43939,0.802149
5.40909,0.667526
5.39394,0.516138
5.34848,0.429515
5.36364,0.406483
5.33333,0.338264
5.33333,0.286713
5.33333,0.213691
5.30303,0.184483
5.27273,0.10248
5.27273,0.0837283
5.24242,0.0684079
5.19697,0.0340341
5.18182,0.0273005
5.19697,0.0231399
5.19697,0.0182238
5.19697,0.0126201
5.18182,0.00812034
5.18182,0.00651373
5.16667,0.00451082
5.16667,0.00389427
5.15152,0.00312378
5.13636,0.00216325
5.13636,0.00149807
5.12121,0.00126977
5.12106,0.00264772
5.12121,0.00355248
5.11606,0.00459446
5.10121,0.00572768
5.09091,0.00368544
5.08821,0.0025522
5.08606,0.0016422
5.08491,0.00122396
5.07091,0.00274682
5.04545,0.00144402
5.01515,0.00389427
5,0.00269681
4.9697,0.00186757
4.95455,0.0014708
4.9424,0.00228582
4.93455,0.00158295
4.90848,0.00122396
4.86364,0.00170366
4.85394,0.00200998
4.80303,0.00144402
4.81818,0.0019022
4.80303,0.00264772
4.75758,0.00330078
4.75758,0.00183357
4.75273,0.00144402
4.74788,0.0011798
4.72273,0.00103743
4.71212,0.00122396
4.66667,0.00109621
