"R(W)/d)(T (K)), created by Plot Digitizer, 2.6.8",
"Date: 23/08/24, 11:16:29",
,
,
135,
T (K),R(W)/d)
8.0417,138.93
7.8167,138.85
7.55,138.52
7.3417,138.02
7.2,137.52
7.15,134.37
7.0833,132.31
6.9917,129.78
6.9,129.78
6.8,128.53
6.7083,124.86
6.6333,121.3
6.5833,116.7
6.5,111.2
6.425,106.99
6.3417,102.94
6.2583,98.088
6.0167,88.205
5.9,85.687
5.775,83.864
5.65,81.649
5.5,80.087
5.3833,79.556
5.2917,78.053
5.15,77.053
5.0667,76.313
4.8417,72.717
4.775,68.624
4.725,66.025
4.6833,58.802
4.6583,50.874
4.6417,41.941
4.6333,32.631
4.625,29.343
4.6083,22.829
4.6003,18.64
4.5917,16.441
4.5867,13.818
4.5667,11.283
4.5583,9.4829
4.5417,7.7426
,
,
8.25,54.077
8.1417,53.877
7.975,53.39
7.725,53.108
7.55,52.877
7.3,52.69
7.0917,52.49
6.9,52.39
6.6833,52.177
6.4583,52.077
6.275,51.908
6.1,51.79
5.9667,51.569
5.7833,51.369
5.6,51.269
5.5,51.069
5.4,50.386
5.2917,48.947
5.225,47.093
5.175,45.309
5.1167,41.139
5.0917,35.938
5.0417,31.395
5.05,26.133
5.0083,21.964
5,18.108
4.9917,14.928
4.9667,11.955
4.9583,10.048
4.95,8.6102
4.9167,6.7638
,
,
7.525,81.864
7.4,81.844
7.325,81.749
7.2333,81.649
7.1583,81.549
7.125,80.087
7.0917,77.801
7.0333,76.701
6.9667,75.58
6.85,74.854
6.7417,74.654
6.675,73.422
6.6417,70.641
6.62,66.025
6.5583,62.753
6.525,57.678
6.4667,54.959
6.3917,51.866
6.3583,48.947
6.2917,45.192
6.2417,40.538
6.2,35.938
6.1417,30.794
6.0833,25.633
6.0667,20.728
6.0667,16.924
6.0083,14.088
6.025,11.392
6,8.778
6,6.9625
5.9667,5.9086
5.9583,4.5528
5.9583,3.5421
5.9333,2.626
5.925,2.1031
,
,
8.35,33.267
8.2167,32.947
8.0917,32.947
7.85,32.947
7.6417,32.947
7.4083,32.947
7.1667,33.267
6.9417,32.947
6.8167,32.317
6.75,32.017
6.6667,31.507
6.6083,31.095
6.5583,30.794
6.5167,30.205
6.4917,28.232
6.475,24.902
6.45,19.751
6.4333,16.127
6.4167,13.424
6.408,11.067
6.4,8.9492
6.3833,6.9625
6.3667,5.4169
6.3667,4.2553
6.3333,3.3752
6.3,2.8921
6.3167,2.5757
6.3167,2.294
