"R/RN(B (T)), created by Plot Digitizer, 2.6.8",
"Date: 23/11/09, 16:07:20",
,
,
119,
B (T),R/RN
0.00744417,0
0.08933,0
0.17866,0
0.290323,0
0.401985,0
0.521092,0
0.610422,0
0.692308,0.02
0.751861,0.028986
0.80397,0.043478
0.885856,0.072464
0.945409,0.094203
1.01985,0.13768
1.06452,0.18116
1.10918,0.21014
1.1464,0.25362
1.19107,0.31159
1.23573,0.36957
1.27295,0.42754
1.31017,0.5
1.33251,0.56522
1.35484,0.63043
1.39206,0.68116
1.41439,0.71739
1.45161,0.76087
1.48139,0.78261
1.51861,0.82609
1.56328,0.84783
1.9206,0.87681
1.65261,0.87826
1.70471,0.91304
1.77171,0.94203
1.83871,0.94928
1.99504,0.97101
2.09181,0.97826
2.21836,0.98551
2.30025,0.99275
2.35236,0.99275
2.41191,0.99275
2.48635,0.99275
2.57568,0.99275
2.62779,0.99275
2.71712,0.99275
2.76923,1
2.85112,1.0072
2.92556,1
2.98511,1
0.0148883,0
0.0521092,0.00E+00
0.111663,0
0.133995,0
0.156328,0.02
0.17866,0.043478
0.186104,0.10145
0.200993,0.14493
0.215881,0.17391
0.223325,0.22464
0.230769,0.23913
0.253102,0.26812
0.290323,0.30435
0.312655,0.36232
0.320099,0.38406
0.334988,0.42029
0.35732,0.47826
0.379653,0.52899
0.387097,0.57246
0.401985,0.61594
0.416873,0.67391
0.416873,0.69565
0.439206,0.72464
0.461538,0.76812
0.468983,0.78986
0.498759,0.7971
0.528536,0.80435
0.588089,0.80435
0.647643,0.81884
0.677419,0.82609
0.707196,0.84058
0.751861,0.86232
0.80397,0.87681
0.856079,0.8913
0.878412,0.89855
0.915633,0.89855
0.997519,0.9058
1.04218,0.91304
1.10174,0.91304
1.1464,0.91304
1.19107,0.92029
1.23573,0.92029
1.30273,0.92029
1.34739,0.93478
1.42184,0.93478
1.48139,0.93478
1.54839,0.94928
1.61538,0.94203
1.65261,0.93478
1.69727,0.94203
1.76427,0.94928
1.77916,0.95652
1.80893,0.95652
1.84615,0.97101
1.91315,0.97101
1.9727,0.97101
2.06948,0.94928
2.12159,0.94928
2.18859,0.96377
2.24814,0.99275
2.27792,0.97101
2.34491,0.97101
2.38958,0.97101
2.44913,0.98551
2.50124,0.97826
2.59801,0.97826
2.67246,0.97826
2.71712,0.97826
2.79156,0.99275
2.84367,0.98551
2.91811,1
2.94789,0.99275
