"Y(LOSS (eV)), created by Plot Digitizer, 2.6.8",
"Date: 23/11/27, 13:52:30",
,
,
314,
LOSS (eV),Y
501.322,13.4146
502.119,13.4146
503.39,13.6585
506.356,13.1707
508.051,13.4146
511.017,13.9024
511.864,13.6585
514.407,13.4146
515.678,13.4146
518.22,13.4146
519.915,13.4146
521.186,13.4146
522.458,13.6585
524.153,13.4146
524.576,12.439
524.576,10.9756
525.424,12.1951
525.847,12.9268
526.695,12.9268
528.814,13.1707
530.508,12.9268
531.78,14.1463
533.051,15.8537
533.051,16.5854
533.898,18.5366
534.322,20
535.169,20.7317
536.441,22.1951
536.864,23.6585
538.136,22.439
539.831,21.2195
542.373,20
544.068,19.0244
545.763,18.7805
547.881,18.5366
550,17.561
553.39,17.561
554.661,18.0488
555.508,19.0244
557.627,19.2683
559.746,19.2683
562.712,19.0244
563.559,17.8049
566.949,17.8049
568.22,18.0488
570.763,18.0488
571.61,17.561
575.424,17.561
576.271,17.561
577.508,17.561
579.237,18.0488
582.203,17.0732
584.322,17.8049
585.593,17.8049
586.864,18.2927
587.712,18.0488
588.983,17.3171
590.678,17.0732
500.424,24.1463
502.119,24.3902
503.39,23.6585
504.237,23.9024
508.898,24.1463
509.746,23.9024
513.136,23.9024
514.407,24.3902
516.525,24.3902
519.068,23.4146
519.915,24.1463
522.458,23.9024
525,23.9024
526.271,24.1463
526.271,24.1463
529.237,24.6341
529.237,25.3659
530.508,26.0976
531.356,26.5854
533.051,26.5854
533.475,26.3415
534.746,28.0488
535.169,29.7561
536.017,32.1951
536.441,33.6585
536.864,34.6341
537.288,35.6098
538.983,35.8537
540.678,33.9024
541.102,33.4146
542.373,32.6829
544.068,31.7073
545.339,30.4878
546.61,29.5122
547.458,29.5122
549.576,29.2683
550.424,30
552.542,30.2439
554.237,30.2439
556.78,30.7317
558.898,30.7317
561.441,30.7317
564.407,30
565.678,30
569.492,29.0244
570.763,29.0244
571.61,29.2683
575,29.2683
577.542,29.2683
578.39,29.2683
581.78,29.7561
582.203,30.7317
583.051,30.2439
583.898,29.0244
586.441,29.0244
586.864,29.5122
588.136,30
590.254,30
501.695,35.122
503.39,34.6341
504.661,35.122
506.356,34.878
507.627,34.878
509.322,34.1463
511.017,34.878
513.593,37.561
514.831,35.3659
516.831,34.3902
517.373,34.878
518.644,34.1463
523.729,35.122
525.424,35.3659
526.595,36.3415
526.695,34.6341
527.119,33.9024
528.814,35.6098
530.085,35.6098
531.78,36.0976
534.322,36.0976
536.017,39.5122
536.22,39.0244
537.712,42.439
538.559,40.7317
540.254,40
544.492,41.4634
546.186,39.7561
547.949,39.5122
549.153,38.2927
550.847,38.2927
551.271,38.7805
553.661,38.7805
554.661,37.561
558.051,38.7805
558.898,39.7561
561.017,40.2439
561.864,38.7805
565.254,39.0244
567.373,39.7561
568.644,38.2927
571.186,38.0488
573.305,37.561
574.576,37.561
575.847,37.3171
580.085,37.3171
581.356,37.3171
582.203,37.8049
583.898,37.8049
586.017,38.2927
587.288,38.7805
588.136,38.7805
590.254,39.7561
501.271,45.3659
503.39,45.8537
504.237,45.8537
505.508,46.3415
507.627,45.122
510.593,45.122
511.864,45.3659
514.407,45.8537
515.678,46.0976
516.525,44.878
518.644,45.8537
520.339,45.8537
522.034,46.0976
522.881,45.3659
524.576,46.0976
526.695,46.0976
527.373,47.561
529.237,46.3415
530.932,46.0976
533.051,45.8537
534.322,47.561
535.169,48.7805
536.441,50.7317
536.864,49.7561
538.559,47.8049
540.678,49.2683
541.949,49.7561
543.22,50.4878
543.644,51.7073
544.068,49.2683
545.339,48.5366
546.61,47.0732
547.458,47.3171
549.576,48.2927
550.847,47.8049
554.237,47.3171
555.085,47.561
557.627,49.0244
558.746,49.7561
559.746,48.5366
561.864,48.2927
566.102,49.0244
567.797,48.5366
570.5,47.3902
572.034,46.5854
573.576,46.5854
574.576,46.5854
577.542,47.3171
580.508,48.0488
583.475,47.0732
584.746,48.0488
585.288,48.2927
587.288,49.2683
589.407,47.0732
500.847,56.3415
505.085,57.0732
506.78,56.3415
511.017,56.3415
511.441,56.3415
513.136,56.5854
516.102,56.5854
516.949,56.5854
518.22,56.3415
518.644,55.8537
521.61,55.6098
523.305,55.6098
524.153,56.3415
527.966,56.0976
528.017,57.3171
530.508,56.5854
532.627,55.3659
535.169,55.8537
536.864,58.2927
537.712,56.8293
538.983,56.0976
541.525,56.8293
542.797,57.8049
542.797,59.2683
544.068,59.2683
544.915,57.561
547.881,56.5854
549.153,56.0976
551.695,57.0732
557.627,58.5366
558.051,59.2683
560.169,59.2683
563.983,56.8293
568.644,56.0976
571.186,56.0976
573.305,55.8537
575.237,55.6098
578.814,56.8293
581.356,56.3415
583.051,56.3415
584.322,55.6098
585.169,57.3171
586.441,58.7805
588.559,58.7805
589.831,58.2927
590.254,56.8293
500,67.0732
505.508,66.3415
510.169,66.3415
512.712,67.0732
513.983,66.3415
516.949,66.3415
521.186,66.8293
522.034,66.8293
529.237,68.2927
525.424,67.561
527.966,68.2927
530.627,68.5366
532.627,67.0732
534.983,66.3415
536.864,66.8293
541.949,69.7561
542.322,68.2927
544.492,68.0488
547.034,67.0732
548.153,68.2927
549.153,69.2683
549.576,69.7561
551.695,69.7561
552.966,69.5122
553.814,68.5366
557.627,67.3171
557.627,70.2439
560.169,68.5366
562.288,67.8049
563.559,68.7805
564.831,69.2683
566.525,70.4878
567.373,68.2927
568.22,67.0732
572.034,66.8293
573.729,68.0488
574.576,69.2683
577.542,68.0488
579.085,68.2927
580.085,67.3171
581.78,68.0488
586.017,70
588.559,70.9756
588.983,69.7561
589.831,69.0244
