"Resistance [mW](Temperature [K]), created by Plot Digitizer, 2.6.8"
"Date: 24/03/19, 10:53:12"


149
Temperature [K],Resistance [mW]
101.348,0,
117.079,0,
133.708,0,
153.034,0,
168.315,0,
182.697,-0.191083,
197.528,0,
209.663,0,
219.551,0,
231.236,0,
237.978,0,
240.674,-0.191083,
242.472,0.573248,
243.371,1.14650,
244.270,3.05732,
244.270,4.01274,
244.270,6.11465,
244.719,7.45223,
245.169,9.55414,
245.618,11.4650,
245.618,13.1847,
245.618,14.9045,
245.618,17.0064,
246.067,18.3439,
246.067,20.8280,
246.067,21.7834,
246.067,23.5032,
246.517,25.0318,
246.517,26.7516,
246.517,28.0892,
247.416,30.1911,
247.865,31.5287,
247.865,33.4395,
248.315,35.3503,
248.315,36.4968,
248.315,37.8344,
249.213,39.7452,
248.764,41.4650,
249.663,42.9936,
250.112,44.7134,
251.011,46.6242,
251.910,47.3885,
252.360,48.5350,
253.258,49.4904,
255.056,50.6369,
255.955,51.2102,
258.202,52.1656,
260.449,52.9299,
262.697,53.3121,
264.045,53.6943,
266.292,54.0764,
268.090,54.4586,
270.337,54.8408,
272.135,55.4140,
274.382,55.9873,
276.629,55.9873,
278.876,56.5605,
282.472,57.1338,
284.719,57.7070,
287.416,58.4713,
290.112,58.8535,
293.258,59.4268,
294.607,60,
297.303,60.5732,
101.798,0,
245.169,0,
251.011,0,
255.506,0,
260.899,0.191083,
263.596,0.191083,
266.292,0.191083,
267.640,0.382166,
267.191,2.48408,
267.640,5.73248,
267.191,8.98089,
267.640,11.2739,
267.640,13.1847,
267.640,15.0955,
267.640,17.0064,
268.090,19.2994,
267.640,20.8280,
267.640,22.1656,
268.090,23.1210,
268.090,26.3694,
268.090,28.6624,
268.090,31.5287,
268.090,33.6306,
268.539,35.5414,
268.090,38.2166,
268.539,40.7006,
268.090,43.1847,
268.539,45.4777,
268.539,47.0064,
268.989,49.2994,
270.337,50.6369,
271.236,51.5924,
272.135,52.5478,
273.034,53.1210,
273.483,54.2675,
275.730,54.8408,
279.775,55.7962,
279.775,55.7962,
282.022,56.1783,
283.820,56.9427,
284.719,57.5159,
288.315,58.2803,
291.461,58.8535,
292.360,59.2357,
293.708,59.6178,
295.506,60,
297.753,60.5732,
103.146,0,
268.090,0,
274.382,0,
277.978,0,
283.371,0,
289.213,0,
290.562,0.191083,
291.011,1.91083,
290.562,4.20382,
291.011,5.54140,
291.011,7.64331,
291.461,8.98089,
291.461,10.7006,
291.011,12.9936,
291.461,14.7134,
291.910,17.1975,
291.910,19.6815,
291.910,21.2102,
291.910,23.6943,
291.910,25.2229,
292.360,26.7516,
291.910,29.6178,
292.360,31.3376,
291.910,32.6752,
292.360,35.9236,
292.809,38.7898,
291.910,41.4650,
292.360,44.3312,
292.809,46.6242,
292.809,49.1083,
293.258,51.7834,
293.708,53.8853,
293.708,55.9873,
294.157,57.1338,
294.607,58.4713,
295.056,59.4268,
296.404,60,
297.753,60.7643,
