"Y(H [Oe]), created by Plot Digitizer, 2.6.8"
"Date: 24/03/19, 11:06:43"


353
H [Oe],Y
0,-0.0309278,
0,-0.154639,
24.7934,-0.309278,
24.7934,-0.603093,
49.5868,-0.773196,
99.1736,-1.00515,
148.760,-1.36082,
173.554,-1.62371,
198.347,-1.99485,
247.934,-2.24227,
247.934,-2.59794,
272.727,-2.78351,
322.314,-3.04639,
347.107,-3.29381,
371.901,-3.52577,
446.281,-3.80412,
545.455,-4.02062,
545.455,-4.20619,
619.835,-4.42268,
619.835,-4.51546,
719.008,-4.76289,
768.595,-4.88660,
867.769,-5.02577,
942.149,-5.16495,
991.736,-5.27320,
1066.12,-5.38144,
1090.91,-5.45876,
1190.08,-5.52062,
1363.64,-5.56701,
1462.81,-5.58247,
1661.16,-5.61340,
1859.50,-5.55155,
2057.85,-5.47423,
2157.02,-5.39691,
2305.79,-5.28866,
2404.96,-5.14948,
2553.72,-5.08763,
2652.89,-4.94845,
2776.86,-4.85567,
2900.83,-4.76289,
3074.38,-4.70103,
3148.76,-4.63918,
3272.73,-4.54639,
3322.31,-4.45361,
3421.49,-4.39175,
3520.66,-4.29897,
3644.63,-4.20619,
3694.21,-4.17526,
3818.18,-4.06701,
3842.98,-4.00515,
3966.94,-3.92783,
4041.32,-3.83505,
4115.70,-3.78866,
4214.88,-3.69588,
4338.84,-3.58763,
4537.19,-3.46392,
4586.78,-3.38660,
4685.95,-3.32474,
4735.54,-3.26289,
4834.71,-3.18557,
4909.09,-3.10825,
5008.26,-3.04639,
5181.82,-2.96907,
5305.79,-2.89175,
5380.17,-2.81443,
5479.34,-2.67526,
5553.72,-2.59794,
5677.69,-2.47423,
5776.86,-2.38144,
5851.24,-2.28866,
5950.41,-2.22680,
24.7934,-0.0154639,
24.7934,-0.123711,
49.5868,-0.293814,
49.5868,-0.525773,
49.5868,-0.695876,
99.1736,-0.958763,
99.1736,-1.09794,
173.554,-1.36082,
148.760,-1.54639,
148.760,-1.70103,
247.934,-1.91753,
247.934,-2.18041,
272.727,-2.30412,
322.314,-2.42783,
322.314,-2.55155,
322.314,-2.70619,
347.107,-2.86082,
421.488,-2.98454,
396.694,-3.13918,
471.074,-3.21649,
495.868,-3.37113,
520.661,-3.41753,
595.041,-3.61856,
619.835,-3.72680,
694.215,-3.85052,
793.388,-3.97423,
867.769,-4.11340,
966.942,-4.25258,
1041.32,-4.32990,
1140.50,-4.39175,
1264.46,-4.46907,
1363.64,-4.46907,
1537.19,-4.48454,
1661.16,-4.45361,
1760.33,-4.42268,
1909.09,-4.36082,
2057.85,-4.28350,
2132.23,-4.22165,
2280.99,-4.22165,
2479.34,-4.15979,
2603.31,-4.06701,
2752.07,-3.98969,
2876.03,-3.89691,
3074.38,-3.81959,
3198.35,-3.75773,
3297.52,-3.74227,
3446.28,-3.63402,
3619.83,-3.58763,
3743.80,-3.51031,
3917.36,-3.43299,
4016.53,-3.35567,
4115.70,-3.32474,
4314.05,-3.26289,
4438.02,-3.21649,
4512.40,-3.13918,
4561.98,-3.06186,
4685.95,-3,
4859.50,-2.93814,
4958.68,-2.87629,
5082.64,-2.79897,
5181.82,-2.73711,
5355.37,-2.67526,
5404.96,-2.59794,
5504.13,-2.55155,
5702.48,-2.47423,
5752.07,-2.44330,
5801.65,-2.41237,
5826.45,-2.48969,
5950.41,-2.44330,
6000,-2.36598,
49.5868,-0.0463918,
49.5868,-0.309278,
74.3802,-0.525773,
123.967,-0.804124,
173.554,-1.11340,
148.760,-1.34536,
198.347,-1.51546,
297.521,-1.65464,
297.521,-1.76289,
421.488,-1.87113,
446.281,-1.99485,
495.868,-2.07217,
619.835,-2.19588,
619.835,-2.27320,
719.008,-2.39691,
768.595,-2.52062,
942.149,-2.53608,
1090.91,-2.61340,
1214.88,-2.65979,
1388.43,-2.62887,
1487.60,-2.61340,
1611.57,-2.61340,
1760.33,-2.58247,
1859.50,-2.53608,
1933.88,-2.50515,
2157.02,-2.47423,
2157.02,-2.42783,
2181.82,-2.35052,
2256.20,-2.25773,
2280.99,-2.22680,
2380.17,-2.10309,
2429.75,-2.01031,
2479.34,-1.97938,
2677.69,-1.91753,
2851.24,-1.85567,
3049.59,-1.77835,
3123.97,-1.76289,
3173.55,-1.74742,
3247.93,-1.68557,
3297.52,-1.68557,
3446.28,-1.65464,
3471.07,-1.59278,
3545.45,-1.54639,
3694.21,-1.54639,
3793.39,-1.50000,
4041.32,-1.46907,
4140.50,-1.42268,
4214.88,-1.36082,
4413.22,-1.36082,
4611.57,-1.31443,
4735.54,-1.31443,
4884.30,-1.29897,
5008.26,-1.19072,
5107.44,-1.25258,
5305.79,-1.23711,
5305.79,-1.23711,
5479.34,-1.19072,
5504.13,-1.11340,
5578.51,-1.11340,
5677.69,-1.05155,
5776.86,-0.881443,
5876.03,-0.943299,
6049.59,-1.05155,
24.7934,-0.0463918,
24.7934,-0.170103,
49.5868,-0.371134,
99.1736,-0.603093,
123.967,-0.695876,
198.347,-0.912371,
173.554,-0.974227,
272.727,-1.15979,
297.521,-1.26804,
322.314,-1.29897,
471.074,-1.43814,
495.868,-1.50000,
595.041,-1.54639,
644.628,-1.59278,
818.182,-1.67010,
942.149,-1.70103,
1090.91,-1.62371,
1090.91,-1.54639,
1190.08,-1.53093,
1388.43,-1.57732,
1438.02,-1.54639,
1611.57,-1.53093,
1661.16,-1.43814,
1760.33,-1.39175,
1834.71,-1.46907,
2008.26,-1.39175,
2157.02,-1.31443,
2280.99,-1.25258,
2404.96,-1.28351,
2454.55,-1.31443,
2677.69,-1.39175,
2776.86,-1.48454,
2826.45,-1.46907,
2925.62,-1.37629,
3049.59,-1.40722,
3148.76,-1.40722,
3371.90,-1.34536,
3421.49,-1.34536,
3545.45,-1.32990,
3644.63,-1.31443,
3793.39,-1.26804,
4066.12,-1.22165,
4140.50,-1.19072,
4338.84,-1.12887,
4413.22,-1.09794,
4586.78,-1.12887,
4710.74,-1.11340,
4785.12,-1.08247,
4933.88,-1.02062,
5033.06,-1.00515,
5305.79,-0.974227,
5479.34,-0.927835,
5528.93,-0.896907,
5578.51,-0.865979,
5652.89,-0.850515,
5776.86,-0.819588,
5975.21,-0.804124,
0,-0.0618557,
74.3802,-0.216495,
74.3802,-0.309278,
123.967,-0.432990,
198.347,-0.525773,
223.141,-0.603093,
272.727,-0.664948,
396.694,-0.742268,
446.281,-0.804124,
570.248,-0.881443,
619.835,-0.912371,
743.802,-0.881443,
867.769,-0.788660,
966.942,-0.757732,
1140.50,-0.757732,
1289.26,-0.742268,
1338.84,-0.726804,
1586.78,-0.726804,
1586.78,-0.664948,
1760.33,-0.742268,
1760.33,-0.819588,
1834.71,-0.835052,
1983.47,-0.773196,
2132.23,-0.726804,
2231.41,-0.726804,
2355.37,-0.726804,
2479.34,-0.664948,
2578.51,-0.618557,
2702.48,-0.587629,
2826.45,-0.572165,
2950.41,-0.525773,
3049.59,-0.525773,
3123.97,-0.510309,
3247.93,-0.572165,
3371.90,-0.479381,
3520.66,-0.371134,
3867.77,-0.371134,
3942.15,-0.402062,
4090.91,-0.448454,
4140.50,-0.216495,
4239.67,-0.262887,
4586.78,-0.231959,
4388.43,-0.309278,
4636.36,-0.231959,
4710.74,-0.185567,
4834.71,-0.201031,
4933.88,-0.278351,
-24.7934,-0.0309278,
0,-0.108247,
49.5868,-0.185567,
99.1736,-0.262887,
173.554,-0.340206,
198.347,-0.494845,
272.727,-0.572165,
421.488,-0.634021,
421.488,-0.711340,
421.488,-0.726804,
595.041,-0.742268,
595.041,-0.695876,
743.802,-0.664948,
867.769,-0.603093,
942.149,-0.572165,
1066.12,-0.572165,
1165.29,-0.525773,
1338.84,-0.556701,
1487.60,-0.510309,
1586.78,-0.494845,
1661.16,-0.556701,
1685.95,-0.587629,
1735.54,-0.634021,
1859.50,-0.649485,
1983.47,-0.634021,
2082.64,-0.618557,
2256.20,-0.572165,
2429.75,-0.572165,
2504.13,-0.494845,
2628.10,-0.479381,
2851.24,-0.494845,
2975.21,-0.386598,
3049.59,-0.386598,
3272.73,-0.402062,
3545.45,-0.448454,
3570.25,-0.386598,
3719.01,-0.324742,
3892.56,-0.278351,
3966.94,-0.262887,
4190.08,-0.170103,
4462.81,-0.123711,
4586.78,-0.0773196,
4735.54,-0.0773196,
4909.09,-0.0773196,
4983.47,-0.0927835,
