----------
FIGNO: DIF4502
XPROP: T
XUNIT: K
YPROP: thermal diff
YUNIT: mm2/s
PPROP: 
PUNIT: 

----------
xdata	ydata	pdata	number
87.578	15.898	1	1
90.062	15.565	1	2
86.957	15.033	1	3
88.199	14.767	1	4
91.925	14.568	1	5
90.062	14.102	1	6
87.578	14.302	1	7
87.578	13.769	1	8
88.199	13.237	1	9
87.578	12.772	1	10
88.199	12.239	1	11
87.578	11.508	1	12
86.957	11.109	1	13
91.925	11.375	1	14
91.925	11.907	1	15
91.925	12.373	1	16
91.304	12.772	1	17
90.062	13.57	1	18
95.652	12.04	1	19
94.41	11.508	1	20
93.789	10.843	1	21
93.789	10.31	1	22
96.894	10.177	1	23
97.516	10.71	1	24
98.758	11.242	1	25
102.484	11.574	1	26
102.484	10.843	1	27
100	10.377	1	28
100.621	9.712	1	29
103.106	9.978	1	30
101.863	9.313	1	31
106.211	9.047	1	32
107.453	9.778	1	33
111.18	9.911	1	34
113.665	9.512	1	35
114.907	9.047	1	36
105.59	8.248	1	37
109.938	8.315	1	38
113.665	8.248	1	39
119.255	7.849	1	40
120.497	8.182	1	41
122.36	8.581	1	42
121.118	7.517	1	43
126.087	7.051	1	44
126.708	7.65	1	45
130.435	7.45	1	46
132.298	7.716	1	47
130.435	6.253	1	48
136.646	5.854	1	49
138.509	6.452	1	50
141.615	6.718	1	51
143.478	6.253	1	52
149.689	6.386	1	53
148.447	5.854	1	54
152.795	5.654	1	55
158.385	5.654	1	56
164.596	5.854	1	57
154.658	4.856	1	58
162.733	4.59	1	59
167.702	4.656	1	60
170.186	5.055	1	61
173.913	5.322	1	62
176.398	4.723	1	63
179.503	5.255	1	64
178.261	4.324	1	65
183.23	4.856	1	66
188.199	4.789	1	67
193.168	4.457	1	68
190.683	4.191	1	69
187.578	3.925	1	70
183.23	3.991	1	71
196.894	4.324	1	72
200.621	4.124	1	73
206.211	4.191	1	74
210.559	4.257	1	75
215.528	4.257	1	76
218.634	3.925	1	77
215.528	3.526	1	78
221.739	4.457	1	79
224.224	3.459	1	80
226.087	3.725	1	81
227.95	3.193	1	82
231.056	3.725	1	83
237.267	4.191	1	84
234.783	3.259	1	85
238.509	3.193	1	86
242.236	3.592	1	87
245.342	3.393	1	88
250.932	3.659	1	89
253.416	3.259	1	90
258.385	3.459	1	91
261.491	3.126	1	92
265.839	2.927	1	93
268.323	3.193	1	94
273.292	3.659	1	95
277.019	3.925	1	96
278.882	2.993	1	97
281.366	2.86	1	98
283.851	3.792	1	99
287.578	3.393	1	100
291.925	3.06	1	101
295.652	2.86	1	102
297.516	3.326	1	103
301.242	3.06	1	104
301.242	2.395	1	105
304.969	2.395	1	106
