---------			
FIGNO:HC12126			
XPROP:T			
XUNIT:K			
"YPROP:Hc2,Hirr "			
YUNIT:T			
"PPROP:1  Hc2<ab>,  2  Hirr<ab>,  3  Hc2<c>"			
PUNIT:			

---------			
xdata	ydata	pdata	number
29.8	43.57	1	1
31.9	34.93	1	2
35.1	23.9	1	3
37	15.99	1	4
40.2	5.88	1	5
41.9	0.18	1	6
1.6	42.65	2	1
4.1	37.87	2	2
15	22.06	2	3
21.9	13.24	2	4
29.8	5.51	2	5
33.5	3.12	2	6
35.4	2.02	2	7
37.5	1.1	2	8
38.8	0.74	2	9
41.1	0.37	2	10
1.9	12.13	3	1
4.7	11.95	3	2
9.2	11.21	3	3
15	10.66	3	4
20	9.38	3	5
22	9.19	3	6
25.1	7.72	3	7
30.1	5.33	3	8
39.9	0.37	3	9
