****			
FIGNO:HC150660			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
"PPROP:1  H//ab,  2 H//c"			
PUNIT:			

****			
xdata	ydata	pdata	number
0.212 	3.605 	1	1
0.552 	3.501 	1	2
0.941 	3.294 	1	3
1.309 	3.002 	1	4
1.733 	2.494 	1	5
2.038 	1.995 	1	6
2.271 	1.496 	1	7
2.441 	0.998 	1	8
2.526 	0.706 	1	9
2.583 	0.499 	1	10
2.618 	0.301 	1	11
2.689 	0.000 	1	12
0.212 	0.988 	2	1
0.460 	0.904 	2	2
0.870 	0.706 	2	3
1.366 	0.499 	2	4
1.868 	0.292 	2	5
2.469 	0.094 	2	6
2.682 	0.009 	2	7
