****			
FIGNO: HC151094			
XPROP: T			
XUNIT: K			
YPROP: HC2			
YUNIT: T			
"PPROP: 1  HC2//AB,  2  HC2//C"			
PUNIT:			
SAMPLE: NDFEASO0.7F0.3			
****			

XDATA	YDATA	PDATA	NUMBER
35.1 	59.2 	1	1
36.0 	55.5 	1	2
37.1 	50.5 	1	3
38.0 	47.3 	1	4
39.1 	42.3 	1	5
40.1 	37.8 	1	6
41.1 	34.6 	1	7
40.9 	33.7 	1	8
42.0 	30.0 	1	9
42.8 	24.8 	1	10
43.1 	22.9 	1	11
43.6 	19.9 	1	12
44.0 	14.9 	1	13
44.7 	10.2 	1	14
44.9 	8.0 	1	15
45.1 	5.8 	1	16
45.5 	3.0 	1	17
45.8 	0.4 	1	18
18.6 	44.5 	2	1
19.2 	41.9 	2	2
19.3 	40.6 	2	3
19.6 	39.7 	2	4
20.6 	37.6 	2	5
21.1 	34.8 	2	6
21.8 	32.8 	2	7
23.2 	29.8 	2	8
26.1 	24.6 	2	9
28.9 	19.7 	2	10
33.0 	14.5 	2	11
36.7 	9.9 	2	12
38.1 	7.8 	2	13
42.0 	3.9 	2	14
43.4 	1.9 	2	15
44.5 	1.1 	2	16
45.4 	0.6 	2	17
