****			
FIGNO: HC154144			
XPROP: t=T/Tc			
XUNIT: 			
"YPROP: Hc2, Hirr"			
YUNIT: T			
PPROP: 			
PUNIT: 			
sample: PrOFe0.9Co0.1As0.9P0.1			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.896 	11.97 	Hc2	1
0.899 	11.48 	Hc2	2
0.911 	10.99 	Hc2	3
0.920 	10.50 	Hc2	4
0.921 	9.98 	Hc2	5
0.923 	9.47 	Hc2	6
0.933 	8.97 	Hc2	7
0.936 	8.48 	Hc2	8
0.944 	7.99 	Hc2	9
0.948 	7.47 	Hc2	10
0.948 	6.98 	Hc2	11
0.952 	6.49 	Hc2	12
0.960 	4.99 	Hc2	13
0.958 	4.47 	Hc2	14
0.966 	3.96 	Hc2	15
0.977 	2.97 	Hc2	16
0.978 	2.51 	Hc2	17
0.981 	1.99 	Hc2	18
0.983 	1.47 	Hc2	19
0.986 	0.98 	Hc2	20
0.984 	0.49 	Hc2	21
0.999 	0.03 	Hc2	22
0.326 	12.03 	Hirr	1
0.353 	10.99 	Hirr	2
0.392 	9.98 	Hirr	3
0.422 	9.00 	Hirr	4
0.462 	8.02 	Hirr	5
0.496 	6.98 	Hirr	6
0.543 	6.00 	Hirr	7
0.589 	5.02 	Hirr	8
0.621 	4.01 	Hirr	9
0.654 	3.03 	Hirr	10
0.722 	2.02 	Hirr	11
0.789 	0.93 	Hirr	12
0.833 	0.47 	Hirr	13
0.901 	0.10 	Hirr	14
0.998 	0.08 	Hirr	15
