---------			
FIGNO:HC33431			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
"PPROP:p=1 for Hc2//c, p=2 for Hc2//a, p=3 for Hc2//b"			
PUNIT:			

---------			
xdata	ydata	pdata	number
3.99	7.01	1	1
4.06	4.96	1	2
4.26	2.99	1	3
4.48	0.94	1	4
4.61	0.47	1	5
0.96	20.08	2	1
1.2	18.03	2	2
1.72	13.94	2	3
2.25	10	2	4
2.79	7.01	2	5
3.14	4.96	2	6
3.57	2.99	2	7
4.26	0.94	2	8
4.48	0.39	2	9
4.86	0	2	10
0.16	7.01	3	1
0.33	5.59	3	2
0.65	4.02	3	3
0.91	2.99	3	4
1.34	1.89	3	5
2.21	1.02	3	6
2.99	0.39	3	7
3.63	0.31	3	8
4.19	0.16	3	9
