---------			
FIGNO:HC34529			
XPROP:T/Tc			
XUNIT:			
YPROP:Hc2			
YUNIT:kOe			
PPROP:x in BaPb1-xBixO3			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.158	53.96	0.25	1
0.247	46.31	0.25	2
0.356	38.12	0.25	3
0.425	33.42	0.25	4
0.596	23.09	0.25	5
0.699	17.72	0.25	6
0.723	16.11	0.25	7
0.75	15.03	0.25	8
0.76	14.09	0.25	9
0.771	13.29	0.25	10
0.791	12.21	0.25	11
0.808	11.14	0.25	12
0.825	10.2	0.25	13
0.849	8.86	0.25	14
0.873	7.25	0.25	15
0.901	5.91	0.25	16
0.918	4.83	0.25	17
0.938	3.89	0.25	18
0.955	2.82	0.25	19
0.976	1.48	0.25	20
0.168	16.78	0.15	1
0.25	15.57	0.15	2
0.308	14.5	0.15	3
0.425	12.75	0.15	4
0.493	11.54	0.15	5
0.572	10.07	0.15	6
0.623	8.19	0.15	7
0.712	6.85	0.15	8
0.801	4.83	0.15	9
0.839	3.89	0.15	10
