---------			
FIGNO:HC40028			
XPROP:T			
XUNIT:K			
YPROP:Hc			
YUNIT:Oe			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.4944	1.893	114	1
0.4952	1.818	114	2
0.4962	1.7	114	3
0.4977	1.587	114	4
0.4988	1.485	114	5
0.4995	1.41	114	6
0.5009	1.292	114	7
0.5032	1.11	114	8
0.5053	0.938	114	9
0.5072	0.74	114	10
0.5087	0.552	114	11
0.5092	0.552	114	12
0.5097	0.434	114	13
0.5108	0.391	114	14
0.5127	0.198	114	15
0.5147	0.016	114	16
0.4906	1.893	116	1
0.4915	1.823	116	2
0.4918	1.796	116	3
0.4927	1.7	116	4
0.4933	1.668	116	5
0.4941	1.587	116	6
0.4953	1.48	116	7
0.4956	1.475	116	8
0.4954	1.41	116	9
0.4963	1.389	116	10
0.4974	1.282	116	11
0.4985	1.201	116	12
0.4995	1.105	116	13
0.4999	1.078	116	14
0.5005	1.029	116	15
0.5018	0.922	116	16
0.5018	0.885	116	17
0.5032	0.788	116	18
0.5036	0.74	116	19
0.5053	0.59	116	20
0.5057	0.552	116	21
0.506	0.499	116	22
0.5064	0.429	116	23
0.5077	0.365	116	24
0.5094	0.188	116	25
0.5112	0.038	116	26
