---------			
FIGNO:HC40055			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
1.75	5.63	1	1
1.98	5.42	1	2
2.15	5.2	1	3
2.42	5.02	1	4
2.54	4.8	1	5
2.71	4.58	1	6
2.92	4.28	1	7
3.17	4	1	8
3.38	3.69	1	9
3.65	3.38	1	10
3.85	3.08	1	11
4.13	2.77	1	12
4.37	2.49	1	13
4.6	2.18	1	14
4.77	2	1	15
4.92	1.75	1	16
5.12	1.6	1	17
5.29	1.38	1	18
5.42	1.2	1	19
5.6	0.98	1	20
5.75	0.77	1	21
5.85	0.58	1	22
5.96	0.46	1	23
6.04	0.34	1	24
6.1	0.28	1	25
6.19	0.18	1	26
6.31	0.03	1	27
