---------			
FIGNO:HC40189			
XPROP:T			
XUNIT:K			
YPROP:H0			
YUNIT:Oe			
PPROP:			
PUNIT:			
---------			
xdata	ydata	pdata	number
4.2456	540.17	1	1
5.4008	365.58	1	2
6.5823	135.66	1	3
4.6853	479.37	1	4
5.7859	296.35	1	5
7.0038	40.79	1	6
7.1257	12	1	7
7.1688	1.94	1	8
4.9987	431.85	1	9
6.1878	218.45	1	10
7.0643	26.83	1	11
3.8156	593.05	1	12
3.5642	620.96	1	13
3.014	674.81	1	14
2.7307	698.48	1	15
4.3996	519.58	1	16
4.1167	556.56	1	17
3.2671	651.28	1	18
2.4905	716.48	1	19
1.7643	760.03	1	20
3.9889	572.39	1	21
3.4268	635.27	1	22
3.0934	667.47	1	23
2.2528	732.48	1	24
1.9486	750.59	1	25
1.511	771.71	1	26
3.7211	603.75	1	27
2.935	681.58	1	28
2.7888	693.71	1	29
2.6555	704.11	1	30
2.3452	726.51	1	31
1.7088	762.75	1	32
4.1609	551.08	1	33
1.284	780.33	1	34
