---------			
FIGNO:HC6175M			
XPROP:T			
XUNIT:K			
YPROP:Hc2.Hc1			
YUNIT:kOe			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
5.7	55.29	3	1
6.3	50.36	3	2
7.1	45.21	3	3
7.8	40.07	3	4
8.6	34.93	3	5
9.3	30	3	6
10.9	19.93	3	7
11.8	15	3	8
12.7	9.64	3	9
13.4	6.86	3	10
14	4.5	3	11
14.3	2.36	3	12
14.9	0.64	3	13
15.4	0	3	14
5	47.36	2	1
7	36.43	2	2
9	26.14	2	3
11	15.86	2	4
13	7.5	2	5
13.7	5.36	2	6
14.1	3.43	2	7
14.5	1.93	2	8
14.9	0.86	2	9
15.5	-0.43	2	10
5	0.1981	1	1
7	0.1711	1	2
9	0.1408	1	3
11	0.1042	1	4
13	0.0624	1	5
13.9	0.0412	1	6
14.2	0.0354	1	7
14	0.0423	1	8
14.2	0.0354	1	9
14.4	0.0251	1	10
14.6	0.0171	1	11
14.8	0.012	1	12
15	0.0069	1	13
15.2	0.0029	1	14
