---------			
FIGNO:HIR33760			
XPROP:1-T/Tc			
XUNIT:			
YPROP:Hirr			
YUNIT:Oe			
PPROP:Sr-content(x)			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.036	4.94	0.28	1
0.04	10.21	0.28	2
0.042	15.14	0.28	3
0.046	25.41	0.28	4
0.05	51.41	0.28	5
0.056	74.65	0.28	6
0.058	99.78	0.28	7
0.062	151.02	0.28	8
0.065	201.86	0.28	9
0.072	305.53	0.28	10
0.073	408.38	0.28	11
0.076	502.42	0.28	12
0.036	4.94	0.2	1
0.044	10	0.2	2
0.05	15.14	0.2	3
0.06	25.41	0.2	4
0.076	51.41	0.2	5
0.087	76.21	0.2	6
0.096	101.87	0.2	7
0.11	154.19	0.2	8
0.119	201.86	0.2	9
0.129	305.53	0.2	10
0.138	408.38	0.2	11
0.137	502.42	0.2	12
0.058	5.05	0.17	1
0.066	10	0.17	2
0.074	15.14	0.17	3
0.086	25.41	0.17	4
0.105	50.35	0.17	5
0.117	76.21	0.17	6
0.127	101.87	0.17	7
0.144	151.02	0.17	8
0.159	201.86	0.17	9
0.177	299.26	0.17	10
0.188	408.38	0.17	11
0.192	502.42	0.17	12
0.087	5.05	0	1
0.098	10	0	2
0.112	15.14	0	3
0.132	25.41	0	4
0.177	50.35	0	5
0.237	70.15	0	6
0.262	101.87	0	7
0.299	151.02	0	8
0.328	201.86	0	9
0.342	248.34	0	10
0.344	299.26	0	11
