---------			
FIGNO:HIR8067			
XPROP:T			
XUNIT:K			
YPROP:Hirr			
YUNIT:Oe			
PPROP:			
PUNIT:			

---------			
xdata	ydata	pdata	number
74.265	9999.2	1	1
76.323	9023.51	1	2
80.441	8047.02	1	3
83.088	6998.19	1	4
85.441	5985.53	1	5
88.088	3996.38	1	7
88.971	5009.04	1	6
90.735	3490.05	1	8
94.853	2983.73	1	9
95.147	2477.4	1	10
96.912	1971.07	1	11
99.853	1464.74	1	12
110.147	524.412	1	13
113.676	198.915	1	14
50.147	7070.52	2	1
56.324	6021.7	2	2
69.853	5009.04	2	3
76.323	3960.22	2	4
81.912	2983.73	2	5
92.5	1971.07	2	6
94.559	994.575	2	7
103.971	524.412	2	8
122.5	-18.083	2	9
127.206	-18.083	2	10
