---------			
FIGNO:MHC11552			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
"PPROP:1 for H//[001], 2 for H//[100]"			
PUNIT:			

---------			
xdata	ydata	pdata	number
2.23	4.7	1	1
2.72	4.51	1	2
3.38	4.22	1	3
3.98	4.01	1	4
5.23	3.5	1	5
6.31	3	1	6
7.43	2.51	1	7
8.51	2	1	8
9.63	1.5	1	9
10.74	0.99	1	10
12	0.49	1	11
12.56	0.3	1	12
13.08	0.14	1	13
13.64	0	1	14
2.16	4.22	2	1
2.76	4.01	2	2
4.22	3.5	2	3
5.51	3.01	2	4
7.01	2.49	2	5
8.23	2	2	6
9.45	1.5	2	7
10.85	0.99	2	8
12.1	0.51	2	9
12.63	0.3	2	10
13.19	0.16	2	11
13.64	0.02	2	12
