---------			
FIGNO:MHC12453			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
"PPROP:1 for H//a, n to surface, 2 for H//a//surface, 3 for H//c//surface"			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.428	1.2	1	1
0.522	1.1	1	2
0.596	1	1	3
0.662	0.9	1	4
0.718	0.8	1	5
0.767	0.7	1	6
0.813	0.6	1	7
0.855	0.5	1	8
0.893	0.4	1	9
0.925	0.3	1	10
0.951	0.2	1	11
0.969	0.1	1	12
0.981	0	1	13
0.407	1.2	2	1
0.507	1.1	2	2
0.587	1	2	3
0.655	0.9	2	4
0.713	0.8	2	5
0.766	0.7	2	6
0.811	0.6	2	7
0.855	0.5	2	8
0.891	0.4	2	9
0.925	0.3	2	10
0.951	0.2	2	11
0.969	0.1	2	12
0.979	0	2	13
0.417	1.1	3	1
0.489	1	3	2
0.55	0.89	3	3
0.612	0.8	3	4
0.669	0.7	3	5
0.727	0.6	3	6
0.778	0.5	3	7
0.832	0.4	3	8
0.883	0.3	3	9
0.928	0.2	3	10
0.965	0.1	3	11
0.979	0	3	12
