****			
FIGNO: MHC131320			
XPROP: T			
XUNIT: mK			
YPROP: Hc//			
YUNIT: Gaus			
PPROP: 			
PUNIT:			
SAMPLE: SN different sample			
****			

XDATA	YDATA	PDATA	NUMBER
155 	2009 	#131321	1
170 	490 	#131321	2
193 	247 	#131321	3
235 	0 	#131321	4
125 	2005 	#131320	1
130 	906 	#131320	2
137 	746 	#131320	3
149 	499 	#131320	4
145 	449 	#131320	5
160 	297 	#131320	6
164 	243 	#131320	7
177 	124 	#131320	8
178 	146 	#131320	9
190 	18 	#131320	10
200 	0 	#131320	11
205 	0 	#131320	12
209 	0 	#131320	13
