---------			
FIGNO:MHC13276			
XPROP:T			
XUNIT:K			
YPROP:Hc			
YUNIT:Oe			
PPROP:at % Gd in Th-Gd			
PUNIT:			

---------			
xdata	ydata	pdata	number
0.3	82.81	0.15	1
0.32	81.87	0.15	2
0.35	78.6	0.15	3
0.37	76.26	0.15	4
0.4	73.45	0.15	5
0.45	67.84	0.15	6
0.48	64.09	0.15	7
0.51	60.82	0.15	8
0.56	54.74	0.15	9
0.57	52.87	0.15	10
0.6	47.72	0.15	11
0.62	45.38	0.15	12
0.66	39.3	0.15	13
0.7	33.68	0.15	14
0.71	31.81	0.15	15
0.75	25.26	0.15	16
0.79	18.71	0.15	17
0.82	13.1	0.15	18
0.86	6.08	0.15	19
0.87	4.68	0.15	20
0.88	2.81	0.15	21
0.3	63.16	0.2	1
0.32	61.75	0.2	2
0.34	60.82	0.2	3
0.36	57.54	0.2	4
0.4	53.33	0.2	5
0.45	47.25	0.2	6
0.48	43.51	0.2	7
0.5	41.17	0.2	8
0.53	35.56	0.2	9
0.55	33.22	0.2	10
0.57	29.94	0.2	11
0.61	24.8	0.2	12
0.61	23.86	0.2	13
0.64	19.18	0.2	14
0.67	14.5	0.2	15
0.7	10.76	0.2	16
0.71	8.89	0.2	17
0.73	5.15	0.2	18
0.74	3.74	0.2	19
0.75	1.87	0.2	20
