---------			
FIGNO:MHC150101			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:Oe			
"PPROP:1  H//ab,  2  H//c"			
PUNIT:			
---------			
xdata	ydata	pdata	number
0.613	238.5	1	1
0.645	229.2	1	2
0.696	221.5	1	3
0.743	210.8	1	4
0.797	201.5	1	5
0.826	189.2	1	6
0.876	180	1	7
0.923	169.2	1	8
0.963	158.5	1	9
1.002	149.2	1	10
1.053	138.5	1	11
1.096	129.2	1	12
1.147	118.5	1	13
1.186	110.8	1	14
1.233	103.1	1	15
1.258	96.9	1	16
1.28	90.8	1	17
1.298	83.1	1	18
1.323	78.5	1	19
1.345	73.8	1	20
1.363	69.2	1	21
1.381	61.5	1	22
1.403	56.9	1	23
1.428	50.8	1	24
1.446	46.2	1	25
1.464	43.1	1	26
1.486	36.9	1	27
1.514	32.3	1	28
1.54	27.7	1	29
1.579	18.5	1	30
1.612	10.8	1	31
1.641	6.2	1	32
1.659	0	1	33
0.775	100	2	1
0.826	93.8	2	2
0.887	89.2	2	3
0.927	84.6	2	4
0.974	80	2	5
1.028	75.4	2	6
1.082	70.8	2	7
1.121	64.6	2	8
1.168	60	2	9
1.212	55.4	2	10
1.276	46.2	2	11
1.302	44.6	2	12
1.359	36.9	2	13
1.392	33.8	2	14
1.421	32.3	2	15
1.45	27.7	2	16
1.475	23.1	2	17
1.522	15.4	2	18
1.55	10.8	2	19
1.565	6.2	2	20
1.597	1.5	2	21
