---------			
FIGNO:MHC150224			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
"PPROP:1  H+ layer,  2  H//layer"			
PUNIT:			
---------			
xdata	ydata	pdata	number
1.37	0.325	1	1
1.8	0.316	1	2
2.35	0.306	1	3
2.81	0.286	1	4
3.31	0.282	1	5
4.51	0.238	1	6
5.03	0.223	1	7
5.52	0.214	1	8
6.01	0.18	1	9
6.48	0.17	1	10
7.02	0.155	1	11
7.51	0.146	1	12
8.03	0.102	1	13
8.55	0.087	1	14
9.04	0.073	1	15
1.81	1.46	2	1
2.34	1.28	2	2
2.82	1.22	2	3
3.32	1.12	2	4
4.49	0.96	2	5
5	0.83	2	6
5.51	0.79	2	7
6.01	0.65	2	8
6.49	0.61	2	9
6.99	0.45	2	10
7.5	0.39	2	11
7.98	0.33	2	12
8.48	0.24	2	13
8.99	0.18	2	14
9.49	0.08	2	15
