****			
FIGNO:MHC150847			
XPROP:T			
XUNIT:K			
YPROP:Hc2			
YUNIT:T			
PPROP:			
PUNIT:			

****			
xdata	ydata	pdata	number
0.58 	2.050 	1	1
0.95 	2.000 	1	2
1.46 	1.901 	1	3
1.85 	1.802 	1	4
2.20 	1.703 	1	5
2.55 	1.598 	1	6
2.87 	1.498 	1	7
3.11 	1.399 	1	8
3.39 	1.294 	1	9
3.70 	1.195 	1	10
4.01 	1.102 	1	11
4.28 	1.003 	1	12
4.50 	0.898 	1	13
4.81 	0.793 	1	14
5.10 	0.693 	1	15
5.30 	0.594 	1	16
5.60 	0.495 	1	17
5.90 	0.396 	1	18
6.11 	0.303 	1	19
6.40 	0.192 	1	20
6.70 	0.093 	1	21
7.00 	0.000 	1	22
