****			
FIGNO: MHC151415			
XPROP: T			
XUNIT: K			
YPROP: Hc1			
YUNIT: mT			
PPROP: Fe-content			
PUNIT:  x  in FexNi1-xZr2			
SAMPLE:  FexNi1-xZr2			
****			

XDATA	YDATA	PDATA	NUMBER
0.371 	0.631 	0.3	1
0.501 	0.604 	0.3	2
0.763 	0.561 	0.3	3
1.020 	0.519 	0.3	4
1.200 	0.479 	0.3	5
1.399 	0.425 	0.3	6
1.608 	0.328 	0.3	7
1.743 	0.111 	0.3	8
0.400 	0.330 	0.5	1
0.570 	0.326 	0.5	2
0.668 	0.303 	0.5	3
0.713 	0.263 	0.5	4
0.789 	0.227 	0.5	5
0.840 	0.200 	0.5	6
0.922 	0.154 	0.5	7
1.009 	0.069 	0.5	8
1.020 	0.038 	0.5	9
