****			
FIGNO: MHC151435			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
"PPROP: 1  H//c, 2  H//ab"			
PUNIT:			
SAMPLE: EuFe2As2			
****			

XDATA	YDATA	PDATA	NUMBER
8.10 	16.05 	1	1
11.21 	12.02 	1	2
14.97 	8.03 	1	3
19.60 	4.03 	1	4
23.07 	2.06 	1	5
27.26 	1.05 	1	6
29.87 	0.50 	1	7
30.30 	0.25 	1	8
30.81 	0.00 	1	9
9.91 	13.40 	1	10
19.89 	3.70 	1	11
24.95 	1.64 	1	12
7.30 	15.97 	2	1
10.12 	11.97 	2	2
13.31 	7.94 	2	3
16.92 	3.95 	2	4
19.74 	1.93 	2	5
21.98 	0.97 	2	6
24.15 	0.42 	2	7
25.74 	0.25 	2	8
26.76 	0.00 	2	9
10.05 	12.18 	2	10
14.82 	6.22 	2	11
20.03 	1.76 	2	12
24.95 	0.34 	2	13
