****			
FIGNO: MHC151844			
XPROP: T			
XUNIT: K			
YPROP: Hc1			
YUNIT: Oe			
"PPROP: 1  Hc1//ab,  2  Hc1//c,  3  Hc2//ab,   4  Hc2//c"			
PUNIT:			
SAMPLE: Ni0.04TaS2			
****			

XDATA	YDATA	PDATA	NUMBER
2.000 	24.99 	1	1
2.202 	23.54 	1	2
2.394 	22.10 	1	3
2.596 	19.94 	1	4
2.798 	18.02 	1	5
3.000 	15.98 	1	6
3.202 	13.09 	1	7
3.404 	10.93 	1	8
3.596 	8.05 	1	9
3.809 	5.05 	1	10
3.989 	3.00 	1	11
2.000 	17.78 	2	1
2.191 	15.98 	2	2
2.404 	14.89 	2	3
2.596 	13.45 	2	4
2.809 	12.01 	2	5
3.000 	10.57 	2	6
3.213 	8.89 	2	7
3.394 	8.05 	2	8
3.596 	5.17 	2	9
3.809 	3.00 	2	10
3.989 	0.96 	2	11
2.089 	8.411 	3	1
2.428 	6.911 	3	2
2.701 	6.000 	3	3
2.908 	4.982 	3	4
3.153 	4.018 	3	5
3.416 	2.893 	3	6
3.642 	1.982 	3	7
3.868 	0.911 	3	8
3.896 	0.750 	3	9
3.953 	0.536 	3	10
3.981 	0.375 	3	11
4.038 	0.161 	3	12
4.094 	0.054 	3	13
2.193 	2.036 	4	1
2.701 	1.554 	4	2
3.096 	0.964 	4	3
3.238 	0.750 	4	4
3.407 	0.589 	4	5
3.586 	0.375 	4	6
3.802 	0.161 	4	7
