****			
FIGNO: MHC152050			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: kG			
PPROP: Er-content			
PUNIT: x  in Lu1-xErxRuB2			
SAMPLE:   Lu1-xErxRuB2			
****			

XDATA	YDATA	PDATA	NUMBER
2.371 	0.909 	0.4	1
2.628 	1.349 	0.4	2
3.029 	2.551 	0.4	3
3.232 	4.282 	0.4	4
3.578 	6.217 	0.4	5
3.806 	6.657 	0.4	6
4.033 	6.657 	0.4	7
4.259 	6.188 	0.4	8
4.540 	5.249 	0.4	9
4.877 	4.252 	0.4	10
5.158 	3.314 	0.4	11
5.383 	2.551 	0.4	12
5.580 	1.848 	0.4	13
5.748 	1.320 	0.4	14
5.861 	0.938 	0.4	15
6.030 	0.499 	0.4	16
6.255 	0.000 	0.4	17
3.872 	0.000 	0.45	1
3.986 	0.205 	0.45	2
4.214 	0.469 	0.45	3
4.441 	0.587 	0.45	4
4.611 	0.440 	0.45	5
4.951 	0.205 	0.45	6
5.177 	0.000 	0.45	7
