****			
FIGNO: MHC152100			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: kOe			
PPROP: Gd-content			
PUNIT: x  in Y1-xGdxRh4B4			
sample: Y1-xGdxRh4B4			
****			

XDATA	YDATA	PDATA	NUMBER
2.46 	19.37 	0.01	1
3.05 	18.10 	0.01	2
3.99 	16.17 	0.01	3
5.05 	13.58 	0.01	4
6.05 	10.98 	0.01	5
7.54 	6.80 	0.01	6
10.07 	0.06 	0.01	7
1.87 	4.15 	0.1	1
2.28 	4.84 	0.1	2
3.05 	5.66 	0.1	3
3.99 	5.98 	0.1	4
5.02 	5.57 	0.1	5
5.86 	4.62 	0.1	6
6.55 	3.58 	0.1	7
7.23 	2.41 	0.1	8
7.98 	1.08 	0.1	9
8.17 	0.76 	0.1	10
8.66 	0.06 	0.1	11
