****			
FIGNO: MHC152353-1			
XPROP: T			
XUNIT: K			
YPROP: Hc2//c			
YUNIT: T			
PPROP: P			
PUNIT: kbar			
SAMPLE: URu2Si2			
****			

XDATA	YDATA	PDATA	NUMBER
0.149 	3.33 	0.001	1
0.416 	3.01 	0.001	2
0.567 	2.75 	0.001	3
0.706 	2.50 	0.001	4
0.924 	2.00 	0.001	5
1.094 	1.50 	0.001	6
1.167 	1.25 	0.001	7
1.228 	1.01 	0.001	8
1.285 	0.75 	0.001	9
1.335 	0.50 	0.001	10
1.351 	0.41 	0.001	11
1.384 	0.20 	0.001	12
1.398 	0.10 	0.001	13
1.417 	0.00 	0.001	14
0.099 	2.52 	3.5	1
0.331 	2.24 	3.5	2
0.484 	2.00 	3.5	3
0.609 	1.75 	3.5	4
0.711 	1.50 	3.5	5
0.869 	1.00 	3.5	6
0.935 	0.76 	3.5	7
0.992 	0.50 	3.5	8
1.006 	0.41 	3.5	9
1.032 	0.30 	3.5	10
1.039 	0.20 	3.5	11
1.072 	0.10 	3.5	12
1.094 	0.00 	3.5	13
0.083 	1.94 	6.2	1
0.198 	1.81 	6.2	2
0.321 	1.61 	6.2	3
0.428 	1.41 	6.2	4
0.510 	1.22 	6.2	5
0.591 	1.02 	6.2	6
0.678 	0.76 	6.2	7
0.749 	0.52 	6.2	8
0.763 	0.41 	6.2	9
0.794 	0.32 	6.2	10
0.815 	0.21 	6.2	11
0.839 	0.10 	6.2	12
0.874 	0.01 	6.2	13
0.102 	0.84 	9.2	1
0.156 	0.80 	9.2	2
0.189 	0.75 	9.2	3
0.227 	0.69 	9.2	4
0.269 	0.59 	9.2	5
0.317 	0.48 	9.2	6
0.354 	0.37 	9.2	7
0.390 	0.27 	9.2	8
0.430 	0.17 	9.2	9
0.461 	0.08 	9.2	10
0.508 	0.00 	9.2	11

****			
FIGNO: MHC152353-2			
XPROP: T			
XUNIT: K			
YPROP: Hc2//a			
YUNIT: T			
PPROP: P			
PUNIT: kbar			
SAMPLE: URu2Si2			
****			

XDATA	YDATA	PDATA	NUMBER
0.151 	6.84 	0.001	1
0.706 	4.99 	0.001	2
0.893 	4.00 	0.001	3
1.061 	3.00 	0.001	4
1.108 	2.74 	0.001	5
1.148 	2.49 	0.001	6
1.217 	2.00 	0.001	7
1.287 	1.50 	0.001	8
1.323 	1.25 	0.001	9
1.351 	0.99 	0.001	10
1.380 	0.76 	0.001	11
1.413 	0.50 	0.001	12
1.422 	0.40 	0.001	13
1.448 	0.21 	0.001	14
1.469 	0.10 	0.001	15
0.099 	4.74 	3.5	1
0.430 	3.99 	3.5	2
0.702 	2.99 	3.5	3
0.855 	2.24 	3.5	4
0.895 	2.00 	3.5	5
0.947 	1.75 	3.5	6
0.990 	1.50 	3.5	7
1.056 	1.00 	3.5	8
1.089 	0.72 	3.5	9
1.120 	0.47 	3.5	10
1.129 	0.35 	3.5	11
1.146 	0.25 	3.5	12
1.162 	0.21 	3.5	13
1.169 	0.09 	3.5	14
1.212 	0.00 	3.5	15
0.080 	3.43 	6.2	1
0.213 	3.26 	6.2	2
0.298 	3.00 	6.2	3
0.373 	2.76 	6.2	4
0.454 	2.50 	6.2	5
0.576 	2.01 	6.2	6
0.628 	1.81 	6.2	7
0.673 	1.62 	6.2	8
0.713 	1.41 	6.2	9
0.756 	1.21 	6.2	10
0.791 	1.00 	6.2	11
0.839 	0.78 	6.2	12
0.888 	0.51 	6.2	13
0.902 	0.40 	6.2	14
0.919 	0.29 	6.2	15
0.938 	0.21 	6.2	16
0.957 	0.10 	6.2	17
0.992 	0.01 	6.2	18
0.125 	2.84 	6.9	1
0.300 	2.32 	6.9	2
0.522 	1.56 	6.9	3
0.609 	1.37 	6.9	4
0.664 	1.15 	6.9	5
0.711 	0.96 	6.9	6
0.744 	0.71 	6.9	7
0.787 	0.54 	6.9	8
0.808 	0.46 	6.9	9
0.836 	0.37 	6.9	10
0.865 	0.25 	6.9	11
0.879 	0.15 	6.9	12
0.893 	0.06 	6.9	13
0.935 	0.00 	6.9	14
