****			
FIGNO: MHC152504			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: kOe			
PPROP: 			
PUNIT:			
SAMPLE: Y0.9Gd0.1Ni2B2C			
****			

XDATA	YDATA	PDATA	NUMBER
0.53 	29.4 	1	1
0.78 	29.2 	1	2
1.00 	28.9 	1	3
1.28 	28.5 	1	4
1.53 	28.4 	1	5
1.80 	28.0 	1	6
2.03 	27.8 	1	7
2.50 	27.2 	1	8
3.03 	26.5 	1	9
3.91 	24.9 	1	10
3.98 	24.7 	1	11
5.01 	22.5 	1	12
6.03 	20.0 	1	13
7.01 	17.2 	1	14
7.76 	15.0 	1	15
8.01 	14.2 	1	16
9.01 	10.8 	1	17
9.24 	10.0 	1	18
9.99 	7.39 	1	19
10.71 	4.99 	1	20
11.07 	3.94 	1	21
11.39 	2.90 	1	22
11.74 	1.91 	1	23
12.12 	0.92 	1	24
12.59 	0.00 	1	25
