****			
FIGNO: MHC153008			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: 			
PUNIT:			
SAMPLE: Li2(Pd0.5Pt0.5)3B			
****			

XDATA	YDATA	PDATA	NUMBER
0.366 	2.128 	SUS	1
0.535 	2.104 	SUS	2
0.888 	2.072 	SUS	3
0.940 	2.048 	SUS	4
1.045 	2.008 	SUS	5
1.358 	1.888 	SUS	6
1.646 	1.760 	SUS	7
1.763 	1.712 	SUS	8
1.841 	1.624 	SUS	9
2.076 	1.504 	SUS	10
2.442 	1.248 	SUS	11
2.808 	1.008 	SUS	12
3.147 	0.744 	SUS	13
3.474 	0.512 	SUS	14
3.657 	0.384 	SUS	15
3.840 	0.240 	SUS	16
4.009 	0.136 	SUS	17
4.114 	0.080 	SUS	18
4.140 	0.048 	SUS	19
4.205 	0.040 	SUS	20
4.271 	0.016 	SUS	21
4.323 	0.008 	SUS	22
