****			
FIGNO: MHC153012			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: 			
PUNIT:			
SAMPLE: CaIrSi3			
****			

XDATA	YDATA	PDATA	NUMBER
0.348 	0.420 	SUS	1
0.580 	0.402 	SUS	2
0.803 	0.377 	SUS	3
0.994 	0.351 	SUS	4
1.126 	0.327 	SUS	5
1.333 	0.300 	SUS	6
1.474 	0.276 	SUS	7
1.631 	0.252 	SUS	8
1.764 	0.226 	SUS	9
1.913 	0.202 	SUS	10
2.054 	0.176 	SUS	11
2.178 	0.151 	SUS	12
2.327 	0.125 	SUS	13
2.451 	0.101 	SUS	14
2.592 	0.075 	SUS	15
2.725 	0.050 	SUS	16
2.849 	0.027 	SUS	17
2.965 	0.005 	SUS	18
2.998 	0.003 	SUS	19
