****			
FIGNO: MHC153114			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: 			
PUNIT:			
SAMPLE: alpha-BiPd			
****			

XDATA	YDATA	PDATA	NUMBER
0.10 	0.683 	1	1
0.20 	0.680 	1	2
0.25 	0.678 	1	3
0.50 	0.669 	1	4
0.76 	0.655 	1	5
1.00 	0.636 	1	6
1.39 	0.582 	1	7
1.70 	0.533 	1	8
2.00 	0.479 	1	9
2.25 	0.429 	1	10
2.49 	0.368 	1	11
2.75 	0.310 	1	12
3.00 	0.251 	1	13
3.26 	0.174 	1	14
3.51 	0.089 	1	15
3.61 	0.056 	1	16
3.76 	0.014 	1	17
3.81 	0.000 	1	18
