****			
FIGNO: MHC154039			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
"PPROP: a-c plane,  b-a plane, angle in degree"			
PUNIT: 			
sample: UCoGe			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.211 	16.00 	H//a-0	1
0.242 	14.01 	H//a-0	2
0.280 	12.02 	H//a-0	3
0.303 	9.96 	H//a-0	4
0.356 	8.03 	H//a-0	5
0.385 	7.01 	H//a-0	6
0.418 	6.04 	H//a-0	7
0.451 	5.01 	H//a-0	8
0.486 	3.98 	H//a-0	9
0.522 	3.02 	H//a-0	10
0.561 	2.06 	H//a-0	11
0.580 	1.54 	H//a-0	12
0.610 	1.09 	H//a-0	13
0.644 	0.51 	H//a-0	14
0.707 	0.06 	H//a-0	15
0.089 	11.50 	H//a-0.9	1
0.115 	11.05 	H//a-0.9	2
0.159 	9.96 	H//a-0.9	3
0.203 	9.06 	H//a-0.9	4
0.243 	8.03 	H//a-0.9	5
0.327 	5.98 	H//a-0.9	6
0.419 	4.05 	H//a-0.9	7
0.520 	2.06 	H//a-0.9	8
0.584 	1.03 	H//a-0.9	9
0.630 	0.32 	H//a-0.9	10
0.705 	0.06 	H//a-0.9	11
0.248 	16.02 	H//b-0	1
0.298 	15.04 	H//b-0	2
0.334 	14.01 	H//b-0	3
0.357 	13.07 	H//b-0	4
0.368 	11.99 	H//b-0	5
0.371 	11.01 	H//b-0	6
0.369 	9.97 	H//b-0	7
0.367 	8.99 	H//b-0	8
0.363 	8.01 	H//b-0	9
0.360 	6.98 	H//b-0	10
0.361 	5.99 	H//b-0	11
0.366 	4.96 	H//b-0	12
0.381 	3.93 	H//b-0	13
0.405 	3.00 	H//b-0	14
0.446 	1.96 	H//b-0	15
0.463 	1.45 	H//b-0	16
0.481 	1.03 	H//b-0	17
0.500 	0.52 	H//b-0	18
0.553 	0.00 	H//b-0	19
0.187 	16.02 	H//b-6.8	1
0.217 	14.99 	H//b-6.8	2
0.237 	14.01 	H//b-6.8	3
0.259 	11.94 	H//b-6.8	4
0.271 	9.97 	H//b-6.8	5
0.283 	8.01 	H//b-6.8	6
0.303 	5.99 	H//b-6.8	7
0.345 	3.93 	H//b-6.8	8
0.429 	1.96 	H//b-6.8	9
0.452 	1.45 	H//b-6.8	10
0.482 	0.78 	H//b-6.8	11
0.497 	0.52 	H//b-6.8	12
0.553 	0.00 	H//b-6.8	13
