****			
FIGNO: MHC154134			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
sample: RbFe2As2			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.271 	1.193 	0.6	1
0.404 	1.083 	0.6	2
0.524 	0.943 	0.6	3
0.639 	0.840 	0.6	4
0.754 	0.791 	0.6	5
0.864 	0.584 	0.6	6
0.979 	0.529 	0.6	7
1.089 	0.481 	0.6	8
1.204 	0.341 	0.6	9
1.319 	0.268 	0.6	10
1.438 	0.237 	0.6	11
0.276 	0.487 	1	1
0.404 	0.444 	1	2
0.524 	0.420 	1	3
0.639 	0.389 	1	4
0.749 	0.347 	1	5
0.859 	0.280 	1	6
0.983 	0.213 	1	7
1.089 	0.201 	1	8
