****			
FIGNO: MHC154155			
XPROP: T			
XUNIT: K			
"YPROP: Hc2, Hc1"			
"YUNIT: T, Oe"			
PPROP: 			
PUNIT: 			
sample: Zr0.96V0.04B2			
****			
			
XDATA	YDATA	PDATA	NUMBER
4.489 	11.54 	Hc2	1
4.753 	11.02 	Hc2	2
5.173 	10.03 	Hc2	3
5.561 	9.03 	Hc2	4
5.965 	8.04 	Hc2	5
6.276 	7.00 	Hc2	6
6.586 	6.01 	Hc2	7
6.882 	5.01 	Hc2	8
7.177 	4.06 	Hc2	9
7.456 	3.02 	Hc2	10
7.705 	2.07 	Hc2	11
7.969 	1.03 	Hc2	12
8.093 	0.52 	Hc2	13
8.311 	0.04 	Hc2	14
1.714 	24.86 	Hc1	1
2.109 	20.80 	Hc1	2
2.899 	16.17 	Hc1	3
3.498 	14.89 	Hc1	4
4.002 	13.46 	Hc1	5
4.996 	12.39 	Hc1	6
6.004 	8.69 	Hc1	7
6.494 	8.26 	Hc1	8
6.998 	6.62 	Hc1	9
7.515 	2.64 	Hc1	10
8.019 	0.78 	Hc1	11
