****			
FIGNO: MHC154340			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: sample			
"PUNIT: 1=Ba3Ir4Ge1, 2=Ba4Ir8Ge28"			
"sample: Ba3Ir4Ge16, Ba4Ir8Ge28"			
****			
			
XDATA	YDATA	PDATA	NUMBER
2.001 	1.204 	1	1
2.635 	1.001 	1	2
2.965 	0.906 	1	3
3.262 	0.803 	1	4
3.557 	0.707 	1	5
3.901 	0.601 	1	6
4.193 	0.504 	1	7
4.504 	0.407 	1	8
4.808 	0.303 	1	9
5.107 	0.202 	1	10
5.464 	0.102 	1	11
5.902 	0.003 	1	12
1.990 	0.601 	2	1
2.338 	0.402 	2	2
2.547 	0.305 	2	3
2.706 	0.202 	2	4
2.937 	0.105 	2	5
3.221 	0.002 	2	6
