****			
FIGNO: MHC154441			
XPROP: T			
XUNIT: K			
"YPROP: Hc2, Tn"			
YUNIT: T			
PPROP: 			
PUNIT: 			
sample: ErPdBi			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.296 	1.207 	Hc2	1
0.359 	1.103 	Hc2	2
0.442 	1.000 	Hc2	3
0.520 	0.900 	Hc2	4
0.602 	0.801 	Hc2	5
0.672 	0.701 	Hc2	6
0.752 	0.598 	Hc2	7
0.830 	0.498 	Hc2	8
0.924 	0.398 	Hc2	9
1.011 	0.299 	Hc2	10
1.108 	0.198 	Hc2	11
1.142 	0.156 	Hc2	12
1.171 	0.140 	Hc2	13
0.649 	2.103 	Tn	1
0.704 	2.008 	Tn	2
0.741 	1.898 	Tn	3
0.810 	1.803 	Tn	4
0.837 	1.697 	Tn	5
0.845 	1.606 	Tn	6
0.896 	1.501 	Tn	7
0.917 	1.407 	Tn	8
0.930 	1.304 	Tn	9
0.971 	1.194 	Tn	10
0.978 	1.111 	Tn	11
0.979 	1.000 	Tn	12
1.023 	0.896 	Tn	13
1.049 	0.795 	Tn	14
1.029 	0.708 	Tn	15
1.071 	0.604 	Tn	16
1.057 	0.511 	Tn	17
