****			
FIGNO: MHC154607			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: Hc2-definition			
PUNIT: 			
sample: (Nb0.87Si0.09X0.04)(N0.87O0.13)			
****			
			
XDATA	YDATA	PDATA	NUMBER
9.60 	14.02 	R=0.9Rn	1
9.99 	13.04 	R=0.9Rn	2
10.59 	12.03 	R=0.9Rn	3
10.70 	10.96 	R=0.9Rn	4
11.33 	10.00 	R=0.9Rn	5
11.83 	9.01 	R=0.9Rn	6
12.68 	7.98 	R=0.9Rn	7
13.38 	6.99 	R=0.9Rn	8
14.03 	6.00 	R=0.9Rn	9
14.52 	4.97 	R=0.9Rn	10
14.97 	3.98 	R=0.9Rn	11
15.36 	3.00 	R=0.9Rn	12
15.58 	2.51 	R=0.9Rn	13
15.77 	2.04 	R=0.9Rn	14
15.77 	1.51 	R=0.9Rn	15
16.22 	1.05 	R=0.9Rn	16
16.33 	0.56 	R=0.9Rn	17
16.60 	-0.02 	R=0.9Rn	18
8.46 	13.94 	R=0.5Rn	1
9.04 	12.98 	R=0.5Rn	2
9.66 	11.99 	R=0.5Rn	3
10.13 	10.96 	R=0.5Rn	4
10.77 	9.95 	R=0.5Rn	5
11.36 	8.97 	R=0.5Rn	6
12.07 	7.97 	R=0.5Rn	7
12.67 	7.04 	R=0.5Rn	8
13.34 	5.98 	R=0.5Rn	9
13.93 	5.00 	R=0.5Rn	10
14.46 	3.96 	R=0.5Rn	11
14.94 	2.95 	R=0.5Rn	12
15.17 	2.46 	R=0.5Rn	13
15.34 	1.96 	R=0.5Rn	14
15.49 	1.49 	R=0.5Rn	15
15.82 	0.95 	R=0.5Rn	16
15.95 	0.43 	R=0.5Rn	17
16.02 	0.00 	R=0.5Rn	18
7.46 	14.00 	R=0.1Rn	1
8.14 	12.96 	R=0.1Rn	2
8.85 	12.00 	R=0.1Rn	3
9.40 	10.92 	R=0.1Rn	4
10.09 	9.99 	R=0.1Rn	5
10.71 	8.95 	R=0.1Rn	6
11.36 	7.98 	R=0.1Rn	7
11.94 	6.98 	R=0.1Rn	8
12.57 	5.97 	R=0.1Rn	9
13.12 	4.97 	R=0.1Rn	10
13.70 	3.96 	R=0.1Rn	11
14.17 	2.96 	R=0.1Rn	12
14.38 	2.44 	R=0.1Rn	13
14.57 	1.94 	R=0.1Rn	14
14.76 	1.46 	R=0.1Rn	15
14.95 	1.01 	R=0.1Rn	16
15.07 	0.48 	R=0.1Rn	17
15.26 	0.12 	R=0.1Rn	18
