****			
FIGNO: MHC154610			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: 			
PUNIT: 			
sample: Bi2Sr2CuOz			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.403 	19.94 	R=0.9Rn	1
0.513 	18.98 	R=0.9Rn	2
0.609 	18.76 	R=0.9Rn	3
0.667 	18.11 	R=0.9Rn	4
0.820 	17.56 	R=0.9Rn	5
1.145 	16.33 	R=0.9Rn	6
1.197 	16.03 	R=0.9Rn	7
1.790 	13.77 	R=0.9Rn	8
2.632 	11.61 	R=0.9Rn	9
3.234 	9.78 	R=0.9Rn	10
4.318 	8.20 	R=0.9Rn	11
5.498 	6.50 	R=0.9Rn	12
7.001 	4.38 	R=0.9Rn	13
8.923 	0.93 	R=0.9Rn	14
9.408 	0.00 	R=0.9Rn	15
0.401 	15.43 	R=0.5Rn	1
0.518 	14.23 	R=0.5Rn	2
0.590 	13.48 	R=0.5Rn	3
0.656 	12.79 	R=0.5Rn	4
0.777 	12.06 	R=0.5Rn	5
1.110 	10.39 	R=0.5Rn	6
1.211 	9.72 	R=0.5Rn	7
1.764 	7.11 	R=0.5Rn	8
2.614 	5.22 	R=0.5Rn	9
3.210 	3.63 	R=0.5Rn	10
4.262 	2.65 	R=0.5Rn	11
5.490 	1.75 	R=0.5Rn	12
6.973 	0.32 	R=0.5Rn	13
8.995 	0.02 	R=0.5Rn	14
0.411 	12.77 	R=0.1Rn	1
0.514 	11.20 	R=0.1Rn	2
0.596 	10.36 	R=0.1Rn	3
0.677 	9.44 	R=0.1Rn	4
0.810 	8.69 	R=0.1Rn	5
1.147 	6.75 	R=0.1Rn	6
1.196 	6.31 	R=0.1Rn	7
1.780 	3.83 	R=0.1Rn	8
2.645 	2.14 	R=0.1Rn	9
3.203 	1.24 	R=0.1Rn	10
4.311 	0.65 	R=0.1Rn	11
5.506 	0.37 	R=0.1Rn	12
8.538 	0.00 	R=0.1Rn	13
