****			
FIGNO: MHC154840			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
sample: CrAs			
****			
			
XDATA	YDATA	PDATA	NUMBER
1.249 	0.803 	1	1
1.443 	0.604 	1	2
1.685 	0.403 	1	3
1.911 	0.203 	1	4
2.016 	0.099 	1	5
2.171 	0.004 	1	6
1.201 	0.702 	1.4	1
1.311 	0.599 	1.4	2
1.442 	0.500 	1.4	3
1.583 	0.402 	1.4	4
1.696 	0.301 	1.4	5
1.822 	0.202 	1.4	6
1.964 	0.100 	1.4	7
2.095 	0.002 	1.4	8
1.218 	0.403 	1.88	1
1.369 	0.303 	1.88	2
1.534 	0.207 	1.88	3
1.712 	0.102 	1.88	4
1.880 	0.000 	1.88	5
