****			
FIGNO: MHC155430			
XPROP: hole doping			
XUNIT: p			
YPROP: Hc2(0)			
YUNIT: T			
PPROP: sample			
PUNIT: 			
"sample: Y123, Y124, Tl2201"			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.05 	0.0 	Y123	1
0.06 	29.9 	Y123	2
0.08 	49.9 	Y123	3
0.10 	29.8 	Y123	4
0.11 	23.7 	Y123	5
0.12 	23.7 	Y123	6
0.135 	34.7 	Y123	7
0.15 	70.1 	Y123	8
0.16 	115.2 	Y123	9
0.17 	140.4 	Y123	10
0.18 	150.4 	Y123	11
0.19 	140.2 	Y123	12
0.20 	100.4 	Y123	13
0.14 	45.5 	Y124	1
0.22 	59.8 	Tl2201	1
0.25 	19.8 	Tl2201	2
0.257 	13.6 	Tl2201	3
0.260 	9.9 	Tl2201	4
