****			
FIGNO: MHC155700			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: 			
PUNIT: 			
sample: La3Co4Sn13			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.424 	1.252 	1	1
0.515 	1.201 	1	2
0.591 	1.152 	1	3
0.669 	1.105 	1	4
0.743 	1.051 	1	5
0.810 	1.000 	1	6
0.878 	0.953 	1	7
0.943 	0.904 	1	8
1.011 	0.855 	1	9
1.060 	0.803 	1	10
1.127 	0.753 	1	11
1.187 	0.696 	1	12
1.241 	0.651 	1	13
1.309 	0.600 	1	14
1.378 	0.548 	1	15
1.400 	0.499 	1	16
1.467 	0.451 	1	17
1.518 	0.400 	1	18
1.580 	0.349 	1	19
1.626 	0.300 	1	20
1.696 	0.249 	1	21
1.732 	0.202 	1	22
1.789 	0.151 	1	23
1.857 	0.099 	1	24
1.922 	0.050 	1	25
1.953 	0.001 	1	26
