****			
FIGNO: MHC156180			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: kOe			
PPROP: P			
PUNIT: GPa			
sample: Bi2Te			
****			
			
XDATA	YDATA	PDATA	NUMBER
1.36 	20.15 	14.5	1
5.56 	10.01 	14.5	2
7.05 	5.06 	14.5	3
8.68 	0.07 	14.5	4
1.14 	20.15 	16.2	1
3.30 	15.11 	16.2	2
5.07 	10.17 	16.2	3
6.67 	5.11 	16.2	4
8.24 	0.05 	16.2	5
1.20 	15.01 	19.4	1
3.18 	10.02 	19.4	2
5.34 	5.05 	19.4	3
7.36 	0.03 	19.4	4
1.78 	10.07 	22.5	1
4.63 	5.06 	22.5	2
6.97 	0.04 	22.5	3
2.79 	5.05 	28.7	1
4.34 	2.39 	28.7	2
5.56 	0.04 	28.7	3
1.74 	4.99 	32	1
3.58 	2.38 	32	2
4.91 	0.00 	32	3
