****			
FIGNO: MHC156183			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: Sb-content			
PUNIT: x  in PrPt4Ge12-xSbx			
sample:  PrPt4Ge12-xSbx			
****			
			
XDATA	YDATA	PDATA	NUMBER
0.141 	1.12 	x=0.5	1
0.781 	1.10 	x=0.5	2
1.190 	1.00 	x=0.5	3
1.918 	0.80 	x=0.5	4
2.596 	0.60 	x=0.5	5
2.712 	0.55 	x=0.5	6
2.851 	0.50 	x=0.5	7
3.171 	0.40 	x=0.5	8
3.809 	0.20 	x=0.5	9
4.093 	0.10 	x=0.5	10
4.281 	0.05 	x=0.5	11
4.398 	0.00 	x=0.5	12
0.219 	0.60 	x=1	1
0.486 	0.55 	x=1	2
0.673 	0.50 	x=1	3
1.011 	0.40 	x=1	4
1.557 	0.20 	x=1	5
1.840 	0.10 	x=1	6
2.025 	0.05 	x=1	7
2.178 	0.00 	x=1	8
0.283 	0.50 	x=1.5	1
0.594 	0.40 	x=1.5	2
1.165 	0.20 	x=1.5	3
1.412 	0.10 	x=1.5	4
1.544 	0.05 	x=1.5	5
1.718 	0.00 	x=1.5	6
0.760 	0.20 	x=2	1
1.033 	0.10 	x=2	2
1.160 	0.05 	x=2	3
1.296 	0.00 	x=2	4
0.460 	0.10 	x=2.5	1
0.624 	0.05 	x=2.5	2
0.773 	0.00 	x=2.5	3
