****			
FIGNO: MHC156376			
XPROP: T			
XUNIT: K			
YPROP: Hc2			
YUNIT: T			
PPROP: P			
PUNIT: GPa			
sample: NdO0.5F0.5BiS2			
****			
			
XDATA	YDATA	PDATA	NUMBER
3.64 	5.00 	1.97	1
4.26 	3.96 	1.97	2
4.58 	3.50 	1.97	3
4.89 	3.06 	1.97	4
5.18 	2.58 	1.97	5
5.57 	2.12 	1.97	6
5.85 	1.72 	1.97	7
6.33 	1.16 	1.97	8
6.74 	0.68 	1.97	9
7.30 	0.08 	1.97	10
7.40 	0.05 	1.97	11
2.83 	1.443 	0	1
3.06 	1.193 	0	2
3.32 	1.001 	0	3
3.55 	0.795 	0	4
3.83 	0.594 	0	5
3.96 	0.482 	0	6
4.25 	0.288 	0	7
4.44 	0.196 	0	8
4.63 	0.126 	0	9
4.68 	0.093 	0	10
4.78 	0.060 	0	11
